Mittari;Aika;val
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 31;2
Tapausten lukumäärä;Vuosi 2020 Viikko 32;169
Testausmäärä;Vuosi 2020 Viikko 32;48786
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 32;1
Tapausten lukumäärä;Vuosi 2020 Viikko 33;175
Testausmäärä;Vuosi 2020 Viikko 33;72535
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 33;1
Tapausten lukumäärä;Vuosi 2020 Viikko 34;192
Testausmäärä;Vuosi 2020 Viikko 34;98615
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 34;0
Tapausten lukumäärä;Vuosi 2020 Viikko 35;156
Testausmäärä;Vuosi 2020 Viikko 35;108154
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 35;0
Tapausten lukumäärä;Vuosi 2020 Viikko 36;236
Testausmäärä;Vuosi 2020 Viikko 36;102462
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 36;4
Tapausten lukumäärä;Vuosi 2020 Viikko 37;354
Testausmäärä;Vuosi 2020 Viikko 37;79725
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 37;5
Tapausten lukumäärä;Vuosi 2020 Viikko 38;470
Testausmäärä;Vuosi 2020 Viikko 38;97799
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 38;2
Tapausten lukumäärä;Vuosi 2020 Viikko 39;719
Testausmäärä;Vuosi 2020 Viikko 39;91405
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 39;4
Tapausten lukumäärä;Vuosi 2020 Viikko 40;1130
Testausmäärä;Vuosi 2020 Viikko 40;85043
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 40;2
Tapausten lukumäärä;Vuosi 2020 Viikko 41;1626
Testausmäärä;Vuosi 2020 Viikko 41;103583
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 41;8
Tapausten lukumäärä;Vuosi 2020 Viikko 42;1276
Testausmäärä;Vuosi 2020 Viikko 42;100011
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 42;3
Tapausten lukumäärä;Vuosi 2020 Viikko 43;1246
Testausmäärä;Vuosi 2020 Viikko 43;97762
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 43;6
Tapausten lukumäärä;Vuosi 2020 Viikko 44;1457
Testausmäärä;Vuosi 2020 Viikko 44;89021
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 44;2
Tapausten lukumäärä;Vuosi 2020 Viikko 45;1416
Testausmäärä;Vuosi 2020 Viikko 45;89187
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 45;11
Tapausten lukumäärä;Vuosi 2020 Viikko 46;1651
Testausmäärä;Vuosi 2020 Viikko 46;91562
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 46;19
Tapausten lukumäärä;Vuosi 2020 Viikko 47;2601
Testausmäärä;Vuosi 2020 Viikko 47;104308
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 47;28
Tapausten lukumäärä;Vuosi 2020 Viikko 48;3137
Testausmäärä;Vuosi 2020 Viikko 48;132787
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 48;34
Tapausten lukumäärä;Vuosi 2020 Viikko 49;3015
Testausmäärä;Vuosi 2020 Viikko 49;132127
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 49;45
Tapausten lukumäärä;Vuosi 2020 Viikko 50;2906
Testausmäärä;Vuosi 2020 Viikko 50;120776
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 50;38
Tapausten lukumäärä;Vuosi 2020 Viikko 51;2328
Testausmäärä;Vuosi 2020 Viikko 51;123811
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 51;35
Tapausten lukumäärä;Vuosi 2020 Viikko 52;1654
Testausmäärä;Vuosi 2020 Viikko 52;90588
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 52;21
Tapausten lukumäärä;Vuosi 2020 Viikko 53;1847
Testausmäärä;Vuosi 2020 Viikko 53;73937
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 53;27
Tapausten lukumäärä;Vuosi 2021 Viikko 01;1948
Testausmäärä;Vuosi 2021 Viikko 01;76716
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 01;26
Tapausten lukumäärä;Vuosi 2021 Viikko 02;1770
