"11rd -- Väestö iän (1-v. 0-112) ja sukupuolen mukaan, 1972-2021"

"Vuosi";"Yhteensä Yhteensä Väestö 31.12.";"Yhteensä 0 Väestö 31.12.";"Yhteensä 1 Väestö 31.12.";"Yhteensä 2 Väestö 31.12.";"Yhteensä 3 Väestö 31.12.";"Yhteensä 4 Väestö 31.12.";"Yhteensä 5 Väestö 31.12.";"Yhteensä 6 Väestö 31.12.";"Yhteensä 7 Väestö 31.12.";"Yhteensä 8 Väestö 31.12.";"Yhteensä 9 Väestö 31.12.";"Yhteensä 10 Väestö 31.12.";"Yhteensä 11 Väestö 31.12.";"Yhteensä 12 Väestö 31.12.";"Yhteensä 13 Väestö 31.12.";"Yhteensä 14 Väestö 31.12.";"Yhteensä 15 Väestö 31.12.";"Yhteensä 16 Väestö 31.12.";"Yhteensä 17 Väestö 31.12.";"Yhteensä 18 Väestö 31.12.";"Yhteensä 19 Väestö 31.12.";"Yhteensä 20 Väestö 31.12.";"Yhteensä 21 Väestö 31.12.";"Yhteensä 22 Väestö 31.12.";"Yhteensä 23 Väestö 31.12.";"Yhteensä 24 Väestö 31.12.";"Yhteensä 25 Väestö 31.12.";"Yhteensä 26 Väestö 31.12.";"Yhteensä 27 Väestö 31.12.";"Yhteensä 28 Väestö 31.12.";"Yhteensä 29 Väestö 31.12.";"Yhteensä 30 Väestö 31.12.";"Yhteensä 31 Väestö 31.12.";"Yhteensä 32 Väestö 31.12.";"Yhteensä 33 Väestö 31.12.";"Yhteensä 34 Väestö 31.12.";"Yhteensä 35 Väestö 31.12.";"Yhteensä 36 Väestö 31.12.";"Yhteensä 37 Väestö 31.12.";"Yhteensä 38 Väestö 31.12.";"Yhteensä 39 Väestö 31.12.";"Yhteensä 40 Väestö 31.12.";"Yhteensä 41 Väestö 31.12.";"Yhteensä 42 Väestö 31.12.";"Yhteensä 43 Väestö 31.12.";"Yhteensä 44 Väestö 31.12.";"Yhteensä 45 Väestö 31.12.";"Yhteensä 46 Väestö 31.12.";"Yhteensä 47 Väestö 31.12.";"Yhteensä 48 Väestö 31.12.";"Yhteensä 49 Väestö 31.12.";"Yhteensä 50 Väestö 31.12.";"Yhteensä 51 Väestö 31.12.";"Yhteensä 52 Väestö 31.12.";"Yhteensä 53 Väestö 31.12.";"Yhteensä 54 Väestö 31.12.";"Yhteensä 55 Väestö 31.12.";"Yhteensä 56 Väestö 31.12.";"Yhteensä 57 Väestö 31.12.";"Yhteensä 58 Väestö 31.12.";"Yhteensä 59 Väestö 31.12.";"Yhteensä 60 Väestö 31.12.";"Yhteensä 61 Väestö 31.12.";"Yhteensä 62 Väestö 31.12.";"Yhteensä 63 Väestö 31.12.";"Yhteensä 64 Väestö 31.12.";"Yhteensä 65 Väestö 31.12.";"Yhteensä 66 Väestö 31.12.";"Yhteensä 67 Väestö 31.12.";"Yhteensä 68 Väestö 31.12.";"Yhteensä 69 Väestö 31.12.";"Yhteensä 70 Väestö 31.12.";"Yhteensä 71 Väestö 31.12.";"Yhteensä 72 Väestö 31.12.";"Yhteensä 73 Väestö 31.12.";"Yhteensä 74 Väestö 31.12.";"Yhteensä 75 Väestö 31.12.";"Yhteensä 76 Väestö 31.12.";"Yhteensä 77 Väestö 31.12.";"Yhteensä 78 Väestö 31.12.";"Yhteensä 79 Väestö 31.12.";"Yhteensä 80 Väestö 31.12.";"Yhteensä 81 Väestö 31.12.";"Yhteensä 82 Väestö 31.12.";"Yhteensä 83 Väestö 31.12.";"Yhteensä 84 Väestö 31.12.";"Yhteensä 85 Väestö 31.12.";"Yhteensä 86 Väestö 31.12.";"Yhteensä 87 Väestö 31.12.";"Yhteensä 88 Väestö 31.12.";"Yhteensä 89 Väestö 31.12.";"Yhteensä 90 Väestö 31.12.";"Yhteensä 91 Väestö 31.12.";"Yhteensä 92 Väestö 31.12.";"Yhteensä 93 Väestö 31.12.";"Yhteensä 94 Väestö 31.12.";"Yhteensä 95 Väestö 31.12.";"Yhteensä 96 Väestö 31.12.";"Yhteensä 97 Väestö 31.12.";"Yhteensä 98 Väestö 31.12.";"Yhteensä 99 Väestö 31.12.";"Yhteensä 100 Väestö 31.12.";"Yhteensä 101 Väestö 31.12.";"Yhteensä 102 Väestö 31.12.";"Yhteensä 103 Väestö 31.12.";"Yhteensä 104 Väestö 31.12.";"Yhteensä 105 Väestö 31.12.";"Yhteensä 106 Väestö 31.12.";"Yhteensä 107 Väestö 31.12.";"Yhteensä 108 Väestö 31.12.";"Yhteensä 109 Väestö 31.12.";"Yhteensä 110 Väestö 31.12.";"Yhteensä 111 Väestö 31.12.";"Yhteensä 112 Väestö 31.12.";"Miehet Yhteensä Väestö 31.12.";"Miehet 0 Väestö 31.12.";"Miehet 1 Väestö 31.12.";"Miehet 2 Väestö 31.12.";"Miehet 3 Väestö 31.12.";"Miehet 4 Väestö 31.12.";"Miehet 5 Väestö 31.12.";"Miehet 6 Väestö 31.12.";"Miehet 7 Väestö 31.12.";"Miehet 8 Väestö 31.12.";"Miehet 9 Väestö 31.12.";"Miehet 10 Väestö 31.12.";"Miehet 11 Väestö 31.12.";"Miehet 12 Väestö 31.12.";"Miehet 13 Väestö 31.12.";"Miehet 14 Väestö 31.12.";"Miehet 15 Väestö 31.12.";"Miehet 16 Väestö 31.12.";"Miehet 17 Väestö 31.12.";"Miehet 18 Väestö 31.12.";"Miehet 19 Väestö 31.12.";"Miehet 20 Väestö 31.12.";"Miehet 21 Väestö 31.12.";"Miehet 22 Väestö 31.12.";"Miehet 23 Väestö 31.12.";"Miehet 24 Väestö 31.12.";"Miehet 25 Väestö 31.12.";"Miehet 26 Väestö 31.12.";"Miehet 27 Väestö 31.12.";"Miehet 28 Väestö 31.12.";"Miehet 29 Väestö 31.12.";"Miehet 30 Väestö 31.12.";"Miehet 31 Väestö 31.12.";"Miehet 32 Väestö 31.12.";"Miehet 33 Väestö 31.12.";"Miehet 34 Väestö 31.12.";"Miehet 35 Väestö 31.12.";"Miehet 36 Väestö 31.12.";"Miehet 37 Väestö 31.12.";"Miehet 38 Väestö 31.12.";"Miehet 39 Väestö 31.12.";"Miehet 40 Väestö 31.12.";"Miehet 41 Väestö 31.12.";"Miehet 42 Väestö 31.12.";"Miehet 43 Väestö 31.12.";"Miehet 44 Väestö 31.12.";"Miehet 45 Väestö 31.12.";"Miehet 46 Väestö 31.12.";"Miehet 47 Väestö 31.12.";"Miehet 48 Väestö 31.12.";"Miehet 49 Väestö 31.12.";"Miehet 50 Väestö 31.12.";"Miehet 51 Väestö 31.12.";"Miehet 52 Väestö 31.12.";"Miehet 53 Väestö 31.12.";"Miehet 54 Väestö 31.12.";"Miehet 55 Väestö 31.12.";"Miehet 56 Väestö 31.12.";"Miehet 57 Väestö 31.12.";"Miehet 58 Väestö 31.12.";"Miehet 59 Väestö 31.12.";"Miehet 60 Väestö 31.12.";"Miehet 61 Väestö 31.12.";"Miehet 62 Väestö 31.12.";"Miehet 63 Väestö 31.12.";"Miehet 64 Väestö 31.12.";"Miehet 65 Väestö 31.12.";"Miehet 66 Väestö 31.12.";"Miehet 67 Väestö 31.12.";"Miehet 68 Väestö 31.12.";"Miehet 69 Väestö 31.12.";"Miehet 70 Väestö 31.12.";"Miehet 71 Väestö 31.12.";"Miehet 72 Väestö 31.12.";"Miehet 73 Väestö 31.12.";"Miehet 74 Väestö 31.12.";"Miehet 75 Väestö 31.12.";"Miehet 76 Väestö 31.12.";"Miehet 77 Väestö 31.12.";"Miehet 78 Väestö 31.12.";"Miehet 79 Väestö 31.12.";"Miehet 80 Väestö 31.12.";"Miehet 81 Väestö 31.12.";"Miehet 82 Väestö 31.12.";"Miehet 83 Väestö 31.12.";"Miehet 84 Väestö 31.12.";"Miehet 85 Väestö 31.12.";"Miehet 86 Väestö 31.12.";"Miehet 87 Väestö 31.12.";"Miehet 88 Väestö 31.12.";"Miehet 89 Väestö 31.12.";"Miehet 90 Väestö 31.12.";"Miehet 91 Väestö 31.12.";"Miehet 92 Väestö 31.12.";"Miehet 93 Väestö 31.12.";"Miehet 94 Väestö 31.12.";"Miehet 95 Väestö 31.12.";"Miehet 96 Väestö 31.12.";"Miehet 97 Väestö 31.12.";"Miehet 98 Väestö 31.12.";"Miehet 99 Väestö 31.12.";"Miehet 100 Väestö 31.12.";"Miehet 101 Väestö 31.12.";"Miehet 102 Väestö 31.12.";"Miehet 103 Väestö 31.12.";"Miehet 104 Väestö 31.12.";"Miehet 105 Väestö 31.12.";"Miehet 106 Väestö 31.12.";"Miehet 107 Väestö 31.12.";"Miehet 108 Väestö 31.12.";"Miehet 109 Väestö 31.12.";"Miehet 110 Väestö 31.12.";"Miehet 111 Väestö 31.12.";"Miehet 112 Väestö 31.12.";"Naiset Yhteensä Väestö 31.12.";"Naiset 0 Väestö 31.12.";"Naiset 1 Väestö 31.12.";"Naiset 2 Väestö 31.12.";"Naiset 3 Väestö 31.12.";"Naiset 4 Väestö 31.12.";"Naiset 5 Väestö 31.12.";"Naiset 6 Väestö 31.12.";"Naiset 7 Väestö 31.12.";"Naiset 8 Väestö 31.12.";"Naiset 9 Väestö 31.12.";"Naiset 10 Väestö 31.12.";"Naiset 11 Väestö 31.12.";"Naiset 12 Väestö 31.12.";"Naiset 13 Väestö 31.12.";"Naiset 14 Väestö 31.12.";"Naiset 15 Väestö 31.12.";"Naiset 16 Väestö 31.12.";"Naiset 17 Väestö 31.12.";"Naiset 18 Väestö 31.12.";"Naiset 19 Väestö 31.12.";"Naiset 20 Väestö 31.12.";"Naiset 21 Väestö 31.12.";"Naiset 22 Väestö 31.12.";"Naiset 23 Väestö 31.12.";"Naiset 24 Väestö 31.12.";"Naiset 25 Väestö 31.12.";"Naiset 26 Väestö 31.12.";"Naiset 27 Väestö 31.12.";"Naiset 28 Väestö 31.12.";"Naiset 29 Väestö 31.12.";"Naiset 30 Väestö 31.12.";"Naiset 31 Väestö 31.12.";"Naiset 32 Väestö 31.12.";"Naiset 33 Väestö 31.12.";"Naiset 34 Väestö 31.12.";"Naiset 35 Väestö 31.12.";"Naiset 36 Väestö 31.12.";"Naiset 37 Väestö 31.12.";"Naiset 38 Väestö 31.12.";"Naiset 39 Väestö 31.12.";"Naiset 40 Väestö 31.12.";"Naiset 41 Väestö 31.12.";"Naiset 42 Väestö 31.12.";"Naiset 43 Väestö 31.12.";"Naiset 44 Väestö 31.12.";"Naiset 45 Väestö 31.12.";"Naiset 46 Väestö 31.12.";"Naiset 47 Väestö 31.12.";"Naiset 48 Väestö 31.12.";"Naiset 49 Väestö 31.12.";"Naiset 50 Väestö 31.12.";"Naiset 51 Väestö 31.12.";"Naiset 52 Väestö 31.12.";"Naiset 53 Väestö 31.12.";"Naiset 54 Väestö 31.12.";"Naiset 55 Väestö 31.12.";"Naiset 56 Väestö 31.12.";"Naiset 57 Väestö 31.12.";"Naiset 58 Väestö 31.12.";"Naiset 59 Väestö 31.12.";"Naiset 60 Väestö 31.12.";"Naiset 61 Väestö 31.12.";"Naiset 62 Väestö 31.12.";"Naiset 63 Väestö 31.12.";"Naiset 64 Väestö 31.12.";"Naiset 65 Väestö 31.12.";"Naiset 66 Väestö 31.12.";"Naiset 67 Väestö 31.12.";"Naiset 68 Väestö 31.12.";"Naiset 69 Väestö 31.12.";"Naiset 70 Väestö 31.12.";"Naiset 71 Väestö 31.12.";"Naiset 72 Väestö 31.12.";"Naiset 73 Väestö 31.12.";"Naiset 74 Väestö 31.12.";"Naiset 75 Väestö 31.12.";"Naiset 76 Väestö 31.12.";"Naiset 77 Väestö 31.12.";"Naiset 78 Väestö 31.12.";"Naiset 79 Väestö 31.12.";"Naiset 80 Väestö 31.12.";"Naiset 81 Väestö 31.12.";"Naiset 82 Väestö 31.12.";"Naiset 83 Väestö 31.12.";"Naiset 84 Väestö 31.12.";"Naiset 85 Väestö 31.12.";"Naiset 86 Väestö 31.12.";"Naiset 87 Väestö 31.12.";"Naiset 88 Väestö 31.12.";"Naiset 89 Väestö 31.12.";"Naiset 90 Väestö 31.12.";"Naiset 91 Väestö 31.12.";"Naiset 92 Väestö 31.12.";"Naiset 93 Väestö 31.12.";"Naiset 94 Väestö 31.12.";"Naiset 95 Väestö 31.12.";"Naiset 96 Väestö 31.12.";"Naiset 97 Väestö 31.12.";"Naiset 98 Väestö 31.12.";"Naiset 99 Väestö 31.12.";"Naiset 100 Väestö 31.12.";"Naiset 101 Väestö 31.12.";"Naiset 102 Väestö 31.12.";"Naiset 103 Väestö 31.12.";"Naiset 104 Väestö 31.12.";"Naiset 105 Väestö 31.12.";"Naiset 106 Väestö 31.12.";"Naiset 107 Väestö 31.12.";"Naiset 108 Väestö 31.12.";"Naiset 109 Väestö 31.12.";"Naiset 110 Väestö 31.12.";"Naiset 111 Väestö 31.12.";"Naiset 112 Väestö 31.12."
"1972";4653401;58356;60628;61736;64379;69764;72672;73427;74070;76198;77448;77031;77398;77741;78385;76546;81004;84080;83497;83947;83354;86517;83681;86818;89868;91870;91938;90429;81252;65870;62943;50756;73969;53170;62375;61046;57490;55431;56134;54127;51817;55094;57197;59674;59347;59292;57014;57597;57460;55502;56269;53028;53971;54629;40505;47529;46861;45058;46485;48475;47781;49382;48521;47776;47390;44247;43339;40642;36845;36026;32393;30908;29252;26485;24814;22890;19607;17687;16187;13760;11450;10283;9315;7349;6109;5220;4494;3517;2659;2097;1554;1100;686;503;352;225;169;95;59;38;21;11;5;6;2;0;1;0;0;0;0;0;0;0;2249051;30057;30818;31525;32979;35567;37147;37289;37778;38893;39498;39368;39353;39614;39912;38985;41425;42922;42733;42571;42654;44480;43119;44608;46434;47108;47224;46442;41888;33776;32273;25884;37754;26982;31375;31055;29083;28043;28554;27225;26196;27689;29027;29850;29397;29553;28259;28378;27703;26297;26068;24029;24191;24262;18192;20933;20495;19611;20363;21165;20863;21451;21141;20551;20302;18639;17971;16603;14839;14339;12889;11916;11106;9913;8943;8153;6798;5950;5511;4610;3734;3313;2912;2232;1872;1579;1324;971;743;604;389;278;188;118;89;53;56;18;16;10;7;1;2;1;0;0;0;0;0;0;0;0;0;0;2404350;28299;29810;30211;31400;34197;35525;36138;36292;37305;37950;37663;38045;38127;38473;37561;39579;41158;40764;41376;40700;42037;40562;42210;43434;44762;44714;43987;39364;32094;30670;24872;36215;26188;31000;29991;28407;27388;27580;26902;25621;27405;28170;29824;29950;29739;28755;29219;29757;29205;30201;28999;29780;30367;22313;26596;26366;25447;26122;27310;26918;27931;27380;27225;27088;25608;25368;24039;22006;21687;19504;18992;18146;16572;15871;14737;12809;11737;10676;9150;7716;6970;6403;5117;4237;3641;3170;2546;1916;1493;1165;822;498;385;263;172;113;77;43;28;14;10;3;5;2;0;1;0;0;0;0;0;0;0
"1973";4678761;56312;58531;60865;62110;64681;70064;72976;73757;74265;76356;77556;77133;77490;77755;78399;76566;80938;83954;83263;83802;83381;86428;83839;87213;90239;92414;92432;91019;81693;66197;63269;50989;74319;53324;62639;61163;57630;55490;56178;54129;51778;55041;57160;59589;59221;59096;56795;57351;57214;55244;55965;52724;53579;54226;40161;47093;46397;44547;45933;47861;47076;48599;47674;46872;46309;43286;42225;39505;35696;34809;31130;29682;27924;25168;23425;21501;18370;16466;14857;12488;10322;9197;8261;6438;5274;4423;3753;2885;2136;1660;1219;864;504;367;252;157;107;59;37;23;12;7;2;5;1;0;1;0;0;0;0;0;0;2262142;29001;30155;30920;31697;33141;35720;37310;37464;37865;38979;39570;39399;39392;39623;39922;39003;41399;42879;42574;42475;42737;44388;43198;44857;46665;47407;47544;46770;42159;33971;32472;26031;37986;27081;31548;31156;29157;28090;28571;27219;26169;27660;28993;29768;29295;29400;28077;28202;27535;26109;25867;23802;23924;23964;17946;20633;20162;19270;19993;20737;20348;20922;20557;19941;19602;18008;17261;15904;14135;13633;12195;11247;10387;9224;8281;7521;6218;5421;4958;4079;3281;2933;2514;1900;1586;1307;1082;782;588;455;299;206;131;82;62;30;34;7;10;5;3;0;1;1;0;0;0;0;0;0;0;0;0;2416619;27311;28376;29945;30413;31540;34344;35666;36293;36400;37377;37986;37734;38098;38132;38477;37563;39539;41075;40689;41327;40644;42040;40641;42356;43574;45007;44888;44249;39534;32226;30797;24958;36333;26243;31091;30007;28473;27400;27607;26910;25609;27381;28167;29821;29926;29696;28718;29149;29679;29135;30098;28922;29655;30262;22215;26460;26235;25277;25940;27124;26728;27677;27117;26931;26707;25278;24964;23601;21561;21176;18935;18435;17537;15944;15144;13980;12152;11045;9899;8409;7041;6264;5747;4538;3688;3116;2671;2103;1548;1205;920;658;373;285;190;127;73;52;27;18;9;7;1;4;1;0;1;0;0;0;0;0;0
"1974";4702387;62649;56385;58623;60998;62308;64789;70153;73107;73873;74334;76397;77635;77153;77481;77740;78363;76423;80711;83631;82859;83553;82991;86232;83789;87324;90448;92701;92671;91260;81858;66347;63439;51106;74452;53368;62704;61188;57587;55486;56133;54058;51691;54918;56995;59435;59015;58812;56534;57051;56902;54887;55597;52338;53129;53736;39800;46589;45862;43959;45299;47119;46292;47752;46747;45871;45264;42212;41025;38321;34479;33525;29891;28363;26527;23829;22109;20128;16977;15172;13530;11253;9261;8102;7148;5512;4484;3659;3104;2293;1675;1301;928;621;366;256;170;116;59;38;24;16;5;3;2;1;0;0;1;0;0;0;0;0;2273815;31930;29030;30185;30986;31777;33171;35762;37390;37515;37922;39011;39588;39399;39387;39612;39909;38954;41295;42690;42376;42427;42509;44292;43191;44969;46778;47614;47674;46908;42269;34074;32606;26102;38055;27102;31596;31182;29125;28082;28551;27173;26110;27578;28886;29659;29143;29190;27883;27993;27304;25840;25603;23526;23630;23594;17699;20268;19801;18879;19539;20246;19817;20360;19928;19319;18930;17322;16515;15201;13396;12901;11487;10503;9683;8525;7654;6895;5617;4894;4409;3594;2865;2533;2115;1574;1315;1061;870;602;440;346;215;145;90;56;41;25;19;2;6;4;1;0;1;0;0;0;0;0;0;0;0;0;2428572;30719;27355;28438;30012;30531;31618;34391;35717;36358;36412;37386;38047;37754;38094;38128;38454;37469;39416;40941;40483;41126;40482;41940;40598;42355;43670;45087;44997;44352;39589;32273;30833;25004;36397;26266;31108;30006;28462;27404;27582;26885;25581;27340;28109;29776;29872;29622;28651;29058;29598;29047;29994;28812;29499;30142;22101;26321;26061;25080;25760;26873;26475;27392;26819;26552;26334;24890;24510;23120;21083;20624;18404;17860;16844;15304;14455;13233;11360;10278;9121;7659;6396;5569;5033;3938;3169;2598;2234;1691;1235;955;713;476;276;200;129;91;40;36;18;12;4;3;1;1;0;0;1;0;0;0;0;0
"1975";4720492;65356;62173;56351;58564;60952;62353;64817;70213;73095;73860;74280;76387;77585;77101;77457;77693;78218;76203;80347;83131;82521;82918;82483;85817;83391;86979;90144;92446;92505;91131;81746;66221;63345;51016;74338;53272;62559;61055;57454;55328;55943;53875;51532;54727;56735;59159;58697;58514;56213;56713;56489;54464;55180;51877;52621;53230;39385;46037;45292;43376;44630;46381;45431;46808;45806;44758;44095;41062;39742;37072;33289;32165;28610;27050;25171;22454;20763;18763;15667;13873;12282;10163;8244;7078;6169;4741;3789;2999;2523;1850;1295;999;707;475;256;180;109;73;44;29;16;11;3;2;0;1;0;0;0;0;0;0;0;2282114;33599;31694;28977;30138;30956;31813;33184;35785;37386;37504;37896;39010;39568;39367;39364;39578;39858;38837;41077;42447;42247;42041;42195;44093;42974;44786;46631;47482;47604;46876;42176;33994;32550;26046;37966;27023;31489;31080;29034;27968;28413;27053;26000;27433;28682;29453;28931;28984;27653;27735;27017;25534;25313;23211;23267;23263;17410;19887;19439;18497;19108;19737;19243;19734;19304;18602;18183;16583;15762;14460;12719;12145;10770;9828;9008;7867;7050;6291;5045;4322;3894;3160;2505;2155;1785;1305;1069;849;695;476;316;257;156;109;62;31;24;12;16;3;2;3;1;0;0;0;0;0;0;0;0;0;0;2438378;31757;30479;27374;28426;29996;30540;31633;34428;35709;36356;36384;37377;38017;37734;38093;38115;38360;37366;39270;40684;40274;40877;40288;41724;40417;42193;43513;44964;44901;44255;39570;32227;30795;24970;36372;26249;31070;29975;28420;27360;27530;26822;25532;27294;28053;29706;29766;29530;28560;28978;29472;28930;29867;28666;29354;29967;21975;26150;25853;24879;25522;26644;26188;27074;26502;26156;25912;24479;23980;22612;20570;20020;17840;17222;16163;14587;13713;12472;10622;9551;8388;7003;5739;4923;4384;3436;2720;2150;1828;1374;979;742;551;366;194;149;85;61;28;26;14;8;2;2;0;1;0;0;0;0;0;0;0
"1976";4730836;66228;64960;61913;56137;58361;60764;62224;64733;70056;72965;73725;74187;76299;77502;77002;77378;77499;77903;75696;79671;82427;81588;82009;81609;85037;82671;86270;89498;91858;91981;90654;81377;65929;63071;50837;74051;53049;62334;60848;57244;55143;55736;53661;51322;54473;56486;58851;58358;58141;55860;56317;56096;54037;54698;51378;52080;52638;38925;45454;44672;42776;43904;45574;44554;45883;44751;43593;42853;39845;38445;35764;32037;30738;27286;25640;23705;20967;19319;17359;14362;12584;11035;9072;7249;6186;5309;4005;3124;2432;2046;1450;998;753;535;334;177;131;70;50;26;22;11;6;4;1;0;0;0;0;0;0;0;0;2286392;33943;33383;31544;28884;30037;30877;31731;33160;35706;37300;37447;37832;38954;39521;39325;39314;39498;39725;38568;40769;42178;41725;41534;41725;43661;42620;44444;46314;47155;47321;46590;41958;33821;32398;25940;37774;26894;31346;30940;28894;27833;28278;26922;25850;27240;28512;29243;28675;28732;27399;27433;26756;25231;24976;22863;22935;22875;17092;19495;19025;18090;18595;19195;18646;19121;18632;17849;17403;15855;14967;13701;12044;11388;10078;9133;8274;7129;6378;5674;4483;3821;3398;2760;2142;1840;1490;1043;851;676;557;360;228;191;113;72;44;21;11;9;10;3;1;0;1;0;0;0;0;0;0;0;0;0;2444444;32285;31577;30369;27253;28324;29887;30493;31573;34350;35665;36278;36355;37345;37981;37677;38064;38001;38178;37128;38902;40249;39863;40475;39884;41376;40051;41826;43184;44703;44660;44064;39419;32108;30673;24897;36277;26155;30988;29908;28350;27310;27458;26739;25472;27233;27974;29608;29683;29409;28461;28884;29340;28806;29722;28515;29145;29763;21833;25959;25647;24686;25309;26379;25908;26762;26119;25744;25450;23990;23478;22063;19993;19350;17208;16507;15431;13838;12941;11685;9879;8763;7637;6312;5107;4346;3819;2962;2273;1756;1489;1090;770;562;422;262;133;110;59;41;16;19;10;6;3;1;0;0;0;0;0;0;0;0
"1977";4746967;64988;65797;64453;61379;55955;58149;60515;63062;64956;70303;73191;73908;74366;76489;77720;77201;77413;77380;77639;75248;79098;81460;80754;81191;80861;84265;81930;85619;88760;91159;91354;90145;81005;65610;62829;50644;73878;52893;62161;60689;57148;55035;55620;53503;51182;54274;56283;58674;58194;57826;55538;56020;55807;53725;54350;51005;51658;52166;38481;44900;44117;42242;43217;44748;43676;44999;43752;42524;41674;38627;37199;34542;30824;29363;25988;24300;22343;19611;17966;15964;13141;11383;9847;8034;6320;5340;4502;3382;2535;1997;1627;1129;747;545;385;255;116;92;41;32;14;11;5;3;2;0;0;0;0;0;0;0;0;2295668;33248;33712;33132;31236;28794;29932;30763;32158;33270;35843;37403;37549;37937;39047;39643;39428;39377;39491;39626;38445;40597;41765;41359;41169;41467;43421;42355;44226;46021;46899;47041;46434;41822;33669;32293;25851;37689;26823;31252;30870;28840;27782;28193;26837;25763;27106;28370;29114;28569;28501;27145;27211;26573;25004;24748;22584;22643;22543;16787;19110;18639;17777;18132;18648;18075;18549;17958;17161;16644;15110;14261;13015;11365;10633;9381;8457;7601;6498;5797;5055;3989;3340;2930;2361;1778;1545;1222;871;667;543;428;272;163;130;82;56;25;13;5;7;3;0;1;0;1;0;0;0;0;0;0;0;0;2451299;31740;32085;31321;30143;27161;28217;29752;30904;31686;34460;35788;36359;36429;37442;38077;37773;38036;37889;38013;36803;38501;39695;39395;40022;39394;40844;39575;41393;42739;44260;44313;43711;39183;31941;30536;24793;36189;26070;30909;29819;28308;27253;27427;26666;25419;27168;27913;29560;29625;29325;28393;28809;29234;28721;29602;28421;29015;29623;21694;25790;25478;24465;25085;26100;25601;26450;25794;25363;25030;23517;22938;21527;19459;18730;16607;15843;14742;13113;12169;10909;9152;8043;6917;5673;4542;3795;3280;2511;1868;1454;1199;857;584;415;303;199;91;79;36;25;11;11;4;3;1;0;0;0;0;0;0;0;0
"1978";4758088;63466;64792;65651;64340;61285;55871;58087;60504;62988;64887;70206;73138;73833;74303;76435;77649;77036;77136;76931;76925;74608;78190;80659;80065;80594;80308;83759;81552;85224;88382;90799;91019;89852;80694;65419;62613;50447;73677;52732;61992;60467;56973;54859;55461;53315;50977;54031;55993;58345;57876;57463;55208;55564;55343;53239;53833;50501;51113;51511;37988;44271;43449;41547;42470;43893;42775;44009;42665;41330;40361;37331;35804;33087;29399;27961;24544;22842;20891;18188;16528;14641;11907;10217;8761;7072;5431;4545;3817;2796;2043;1596;1290;890;544;415;279;176;81;69;25;15;10;10;2;2;1;0;0;0;0;0;0;0;2300790;32541;33131;33629;33063;31179;28750;29907;30741;32125;33232;35798;37374;37504;37897;39019;39597;39352;39276;39298;39344;38196;40138;41409;41046;40884;41192;43152;42149;44054;45812;46702;46854;46260;41648;33549;32171;25731;37568;26725;31152;30728;28716;27657;28075;26713;25633;26918;28152;28874;28331;28261;26900;26880;26226;24642;24383;22247;22269;22094;16442;18686;18183;17306;17648;18073;17494;17918;17288;16403;15854;14357;13452;12202;10613;9909;8650;7753;6934;5882;5193;4499;3506;2889;2520;2000;1475;1279;1021;691;525;420;342;198;121;94;52;39;12;10;3;2;3;0;0;0;1;0;0;0;0;0;0;0;2457298;30925;31661;32022;31277;30106;27121;28180;29763;30863;31655;34408;35764;36329;36406;37416;38052;37684;37860;37633;37581;36412;38052;39250;39019;39710;39116;40607;39403;41170;42570;44097;44165;43592;39046;31870;30442;24716;36109;26007;30840;29739;28257;27202;27386;26602;25344;27113;27841;29471;29545;29202;28308;28684;29117;28597;29450;28254;28844;29417;21546;25585;25266;24241;24822;25820;25281;26091;25377;24927;24507;22974;22352;20885;18786;18052;15894;15089;13957;12306;11335;10142;8401;7328;6241;5072;3956;3266;2796;2105;1518;1176;948;692;423;321;227;137;69;59;22;13;7;10;2;2;0;0;0;0;0;0;0;0
