group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2017-13;68338.98;71089.24;69709.59;72477.87;68516
Total;2017-14;67738.08;70443.02;69086.13;71808.67;67227
Total;2017-15;67111.3;69773.81;68438.24;71117.96;66826
Total;2017-16;66468.24;69092.42;67776.1;70417.16;65953
Total;2017-17;65818.6;68409.39;67109.83;69717.23;68173
Total;2017-18;65171.99;67734.87;66449.31;69028.61;67183
Total;2017-19;64537.77;67078.48;65804.04;68361.05;66748
Total;2017-20;63925.09;66449.12;65183.03;67723.3;65992
Total;2017-21;63342.48;65854.96;64594.65;67123.37;65181
Total;2017-22;62798.01;65303.44;64046.64;66568.36;63821
Total;2017-23;62299.08;64801.09;63545.98;66064.36;61787
Total;2017-24;61852.3;64353.71;63098.88;65616.75;63919
Total;2017-25;61463.46;63966.39;62710.76;65230.29;66017
Total;2017-26;61137.8;63643.04;62386.23;64908.17;62863
Total;2017-27;60879.31;63387.29;62129.08;64653.89;64125
Total;2017-28;60691.31;63201.82;61942.33;64469.74;61918
Total;2017-29;60576.21;63088.53;61828.12;64357.4;62997
Total;2017-30;60535.51;63048.68;61787.84;64317.98;62194
Total;2017-31;60570.01;63082.62;61822.06;64351.63;64337
Total;2017-32;60679.16;63190.43;61930.55;64458.75;63045
Total;2017-33;60862.04;63370.98;62112.29;64638.06;62385
Total;2017-34;61116.55;63622.65;62365.4;64888.24;62919
Total;2017-35;61439.76;63943.11;62687.27;65207.23;62428
Total;2017-36;61827.85;64329.19;63074.39;65592.21;61241
Total;2017-37;62276.14;64777;63522.47;66039.69;62771
Total;2017-38;62779.06;65281.84;64026.37;66545.41;64467
Total;2017-39;63330.22;65838.24;64580.17;67104.37;65753
Total;2017-40;63922.52;66439.82;65177.12;67710.58;66116
Total;2017-41;64548;67079.57;65809.73;68357.48;67525
Total;2017-42;65198.26;67749.45;66469.77;69037.23;66587
Total;2017-43;65864.26;68440.77;67148.39;69741.33;66245
Total;2017-44;66536.61;69144.13;67836.19;70460.37;66593
Total;2017-45;67205.64;69849.49;68523.31;71184.12;67787
Total;2017-46;67861.6;70546.31;69199.62;71901.64;69972
Total;2017-47;68494.65;71223.89;69854.83;72601.78;70837
Total;2017-48;69095.3;71871.19;70478.69;73272.74;71331
Total;2017-49;69654.32;72477.48;71061.22;73903.02;74273
Total;2017-50;70162.98;73032.36;71592.88;74481.36;76618
Total;2017-51;70613.23;73526.1;72064.76;74997.19;77887
Total;2017-52;70997.97;73949.73;72468.84;75440.57;81053
Total;2018-01;71310.93;74295.62;72798.18;75803.2;85237
Total;2018-02;71547.14;74557.33;73047.07;76077.87;83216
Total;2018-03;71702.64;74730.12;73211.16;76259.44;83060
Total;2018-04;71775.12;74810.7;73287.68;76344.14;80672
Total;2018-05;71763.44;74797.76;73275.36;76330.55;80016
Total;2018-06;71667.99;74691.68;73174.63;76219.08;80869
Total;2018-07;71490.55;74494.73;72987.48;76012.21;83349
Total;2018-08;71234.24;74210.84;72717.46;75714.3;84844
Total;2018-09;70903.53;73845.6;72369.58;75331.52;89961
Total;2018-10;70504.03;73406.04;71950.15;74871.61;90861
Total;2018-11;70042.43;72900.44;71466.67;74343.68;84394
Total;2018-12;69526.34;72338.14;70927.6;73757.92;80429
Total;2018-13;68964.1;71729.19;70342.11;73125.27;77317
Total;2018-14;68364.65;71084.22;69720.01;72457.21;74795
Total;2018-15;67737.37;70414.09;69071.41;71765.37;72406
Total;2018-16;67091.9;69729.71;68406.57;71061.27;69320
Total;2018-17;66437.97;69041.75;67735.68;70356.09;66133
Total;2018-18;65785.29;68360.53;67068.79;69660.46;65270
Total;2018-19;65143.41;67695.82;66415.53;68984.23;65084
Total;2018-20;64521.5;67056.75;65785.05;68336.54;63949
Total;2018-21;63928.34;66451.68;65185.94;67725.51;64600
Total;2018-22;63372.16;65888.17;64626.09;67158.37;65023
Total;2018-23;62860.5;65373.07;64112.68;66641.61;63473
Total;2018-24;62400.21;64912.26;63652.11;66180.62;61728
Total;2018-25;61997.34;64510.98;63250;65780.23;62840
Total;2018-26;61657.11;64173.52;62911.12;65444.25;64739
Total;2018-27;61383.85;63903.53;62639.46;65175.98;64903
Total;2018-28;61181.19;63703.68;62438.19;64977.6;62833
Total;2018-29;61051.34;63576.46;62309.64;64851.76;64342
Total;2018-30;60996.38;63522.86;62255.35;64798.86;67018
Total;2018-31;61017.02;63543.6;62276.04;64819.64;69671
Total;2018-32;61113.03;63638.74;62371.62;64914.33;67399
Total;2018-33;61283.57;63807.36;62541.22;65081.93;63048
Total;2018-34;61526.71;64047.98;62783.12;65321.21;63279
Total;2018-35;61839.64;64358.34;63094.8;65630.2;62105
Total;2018-36;62218.69;64735.44;63472.91;66006.23;63066
Total;2018-37;62659.28;65175.52;63913.27;66445.96;62917
Total;2018-38;63156.02;65673.92;64410.87;66945.13;64269
Total;2018-39;63702.57;66225.35;64959.88;67498.93;63486
Total;2018-40;64291.89;66823.57;65553.65;68101.57;65627
Total;2018-41;64916.18;67461.57;66184.8;68746.45;66975
Total;2018-42;65567.03;68131.46;66845.14;69425.92;64975
Total;2018-43;66235.42;68824.66;67525.9;70131.63;65531
Total;2018-44;66911.99;69531.74;68217.67;70854.14;67908
Total;2018-45;67587.01;70242.79;68910.64;71583.42;68963
Total;2018-46;68250.65;70947.26;69594.61;72308.58;67613
Total;2018-47;68893.09;71634.32;70259.25;73018.24;69010
Total;2018-48;69504.71;72292.85;70894.21;73700.56;70573
Total;2018-49;70075.88;72912.27;71489.39;74344.47;71419
Total;2018-50;70598.07;73481.68;72035.06;74937.85;71353
Total;2018-51;71062.86;73991.28;72522.14;75470.2;74248
Total;2018-52;71462.89;74431.87;72942.35;75931.4;73659
Total;2019-01;71791.72;74795.51;73288.49;76312.73;77400
Total;2019-02;72044.06;75075.46;73554.56;76606.7;80540
Total;2019-03;72215.85;75266.57;73735.95;76807.63;80471
Total;2019-04;72304.3;75365.32;73829.52;76911.62;81059
Total;2019-05;72308.11;75369.99;73833.76;76916.73;81845
Total;2019-06;72227.36;75280.66;73748.74;76823.04;81960
Total;2019-07;72063.6;75099.26;73576.21;76632.67;80391
Total;2019-08;71819.72;74829.42;73319.43;76349.65;79149
Total;2019-09;71499.97;74476.57;72983.21;75979.97;78666
Total;2019-10;71109.83;74047.4;72573.66;75530.98;76378
Total;2019-11;70655.8;73550.16;72098.14;75011.8;74486
Total;2019-12;70145.46;72993.93;71564.97;74432.27;71595
Total;2019-13;69587.01;72388.85;70983.32;73803.54;70306
Total;2019-14;68989.39;71745.48;70362.94;73136.96;71230
Total;2019-15;68361.96;71074.76;69713.96;72444.29;69071
Total;2019-16;67714.43;70387.61;69046.71;71737.08;70037
Total;2019-17;67056.56;69694.92;68371.5;71026.78;69193
Total;2019-18;66398.18;69007.11;67698.45;70324.1;67046
Total;2019-19;65748.88;68334.21;67037.39;69639.28;67153
Total;2019-20;65118.08;67685.39;66397.6;68981.4;66917
Total;2019-21;64514.68;67069.31;65787.86;68358.97;66369
Total;2019-22;63946.96;66493.8;65216.24;67779.6;65494
Total;2019-23;63422.81;65965.76;64690.12;67249.67;65581
Total;2019-24;62949.15;65491.38;64216.07;66775.02;64740
Total;2019-25;62532.27;65076.02;63799.92;66360.52;64725
Total;2019-26;62177.53;64724.23;63446.62;66010.3;67113
Total;2019-27;61889.48;64439.8;63160.35;65727.78;65491
Total;2019-28;61671.88;64225.63;62944.44;65515.4;63460
Total;2019-29;61527.48;64083.98;62801.39;65375.18;63646
Total;2019-30;61458.05;64016.45;62732.9;65308.63;69850
Total;2019-31;61464.63;64023.78;62739.86;65316.35;63831
Total;2019-32;61547.28;64106.05;62822.32;65398.41;63404
Total;2019-33;61705.18;64262.57;62979.55;65554.19;62124
Total;2019-34;61936.44;64492.13;63209.98;65782.83;63229
Total;2019-35;62238.86;64792.12;63511.21;66081.52;65743
Total;2019-36;62608.46;65160.11;63880.04;66448.62;62260
Total;2019-37;63040.95;65592.27;64312.39;66880.53;63478
Total;2019-38;63531.02;66084.16;64803.4;67373.25;64431
Total;2019-39;64072.51;66630.49;65347.33;67921.94;66096
Total;2019-40;64658.2;67225.42;65937.65;68521.47;65854
Total;2019-41;65281.1;67861.28;66567.02;69163.82;67860
Total;2019-42;65932.07;68531.07;67227.38;69843.08;67963
Total;2019-43;66602.47;69225.94;67909.98;70550.29;68310
Total;2019-44;67282.89;69936.61;68605.47;71276.25;68842
Total;2019-45;67963.54;70653.19;69304.01;72011.02;69958
Total;2019-46;68634.62;71365.08;69995.41;72743.56;71552
Total;2019-47;69286.21;72061.43;70669.28;73462.6;72499
Total;2019-48;69908.48;72731.2;71315.18;74156.47;72462
Total;2019-49;70491.88;73363.38;71922.85;74813.4;73644
Total;2019-50;71027.45;73947.24;72482.45;75421.77;74960
Total;2019-51;71506.73;74472.6;72984.64;75970.54;76438
Total;2019-52;71922.19;74930.05;73420.99;76449.32;74407
Total;2020-01;72266.83;75311.59;73783.97;76849.6;77297
Total;2020-02;72535.58;75609.74;74067.34;77162.7;79690
Total;2020-03;72723.63;75819.45;74266.16;77383.41;78100
Total;2020-04;72828.37;75936.46;74377;77506.67;76937
Total;2020-05;72847.89;75959.02;74398.03;77530.77;78908
Total;2020-06;72782.03;75886.81;74329.02;77455.34;76004
Total;2020-07;72632.33;75721.25;74171.43;77281.72;76454
Total;2020-08;72401.14;75465.96;73928.25;77014.18;73611
Total;2020-09;72092.78;75125.76;73604.07;76657.81;74851
Total;2020-10;71712.34;74707.48;73204.8;76220.3;75238
Total;2020-11;71266.27;74218.98;72737.63;75710.25;77148
Total;2020-12;70762;73669.32;72210.78;75137.54;84025
Total;2020-13;70207.71;73068.51;71633.35;74513.12;96786
Total;2020-14;69612.28;72427.11;71015.05;73848.41;108593
Total;2020-15;68985.09;71756.09;70366.04;73155.17;106382
Total;2020-16;68335.84;71066.5;69696.71;72445.15;95380
Total;2020-17;67674.46;70369.19;69017.44;71729.66;85284
Total;2020-18;67010.61;69675.05;68338.5;71020.2;77122
Total;2020-19;66354.3;68993.93;67669.83;70326.57;73431
Total;2020-20;65714.88;68335.45;67020.9;69658.5;68840
Total;2020-21;65101.48;67708.32;66400.64;69024.48;68611
Total;2020-22;64522.49;67120.7;65817.32;68432.57;65780
Total;2020-23;63986;66579.6;65278.51;67889.23;65330
Total;2020-24;63499.17;66091.46;64790.99;67400.51;63969
Total;2020-25;63068.36;65661.88;64360.77;66971.64;63408
Total;2020-26;62699.22;65295.52;63992.98;66606.78;66188
Total;2020-27;62396.48;64996.34;63691.99;66309.48;63851
Total;2020-28;62164.02;64767.47;63461.3;66082.48;63264
Total;2020-29;62004.74;64611.4;63303.6;65928.08;64237
Total;2020-30;61920.73;64529.73;63220.74;65847.62;64963
Total;2020-31;61913.1;64523.41;63213.76;65841.97;67538
Total;2020-32;61982.1;64592.64;63282.88;65911.3;66953
Total;2020-33;62127.06;64736.89;63427.5;66055.16;72170
Total;2020-34;62346.43;64954.9;63646.21;66272.43;66185
Total;2020-35;62637.69;65244.65;63936.74;66561.36;64605
Total;2020-36;62997.44;65603.37;64296;66919.48;65244
