group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2020-37;63421.42;66027.49;64720.08;67343.58;67019
Total;2020-38;63904.41;66512.7;65204.21;67829.84;68749
Total;2020-39;64440.36;67053.82;65742.76;68373.49;67458
Total;2020-40;65022.42;67644.84;66329.31;68968.95;69889
Total;2020-41;65642.96;68278.94;66956.63;69609.85;70429
Total;2020-42;66293.67;68948.44;67616.71;70288.8;72010
Total;2020-43;66965.65;69644.86;68300.88;70997.55;77856
Total;2020-44;67649.51;70358.96;68999.8;71726.93;81413
Total;2020-45;68335.52;71080.82;69703.67;72466.93;84929
Total;2020-46;69013.77;71799.94;70402.26;73206.75;87117
Total;2020-47;69674.23;72505.43;71085.13;73935.07;86882
Total;2020-48;70306.99;73186.17;71741.77;74640.14;87745
Total;2020-49;70902.43;73831.04;72361.8;75310.1;89723
Total;2020-50;71451.35;74429.2;72935.21;75933.25;91539
Total;2020-51;71945.1;74970.26;73452.49;76498.35;91532
Total;2020-52;72375.85;75444.65;73904.94;76994.9;91994
Total;2020-53;72736.67;75843.79;74284.81;77413.51;93807
Total;2021-01;73021.75;76160.39;74585.57;77746.15;96590
Total;2021-02;73226.44;76388.61;74801.96;77986.33;99775
Total;2021-03;73347.48;76524.28;74930.27;78129.44;101589
Total;2021-04;73382.97;76564.96;74968.34;78172.76;96824
Total;2021-05;73332.43;76510.04;74915.62;78115.61;90179
Total;2021-06;73196.94;76360.82;74773.3;77959.41;85329
Total;2021-07;72978.89;76120.33;74544.09;77707.52;82483
Total;2021-08;72682.13;75793.38;74232.32;77365.23;76846
Total;2021-09;72311.75;75386.37;73843.73;76939.6;74281
Total;2021-10;71874.02;74907.06;73385.32;76439.17;75089
Total;2021-11;71376.2;74364.4;72865.2;75873.76;74447
Total;2021-12;70826.45;73768.24;72292.35;75254.03;74372
Total;2021-13;70233.57;73129.23;71676.52;74591.62;75140.08
Total;2021-14;69606.98;72458.25;71027.84;73898.13;74702.47
Total;2021-15;68956.36;71766.47;70356.74;73185.49;74131.47
Total;2021-16;68291.68;71064.95;69673.71;72465.32;73943.94
Total;2021-17;67622.88;70364.44;68989.12;71748.78;72789.14
Total;2021-18;66959.83;69675.26;68313.05;71046.41;72307.14
Total;2021-19;66312.11;69007.1;67655.13;70367.96;69199.48
Total;2021-20;65688.93;68368.96;67024.48;69722.32;67534.62
Total;2021-21;65098.99;67769.06;66429.55;69117.44;66346.47
Total;2021-22;64550.38;67214.81;65878.11;68560.44;67207.67
Total;2021-23;64050.49;66712.79;65377.12;68057.43;65904.08
Total;2021-24;63605.92;66268.73;64932.78;67613.73;67727.64
Total;2021-25;63222.46;65887.57;64550.43;67233.82;65535.18
Total;2021-26;62905.02;65573.46;64234.62;66921.47;66441.21
Total;2021-27;62657.65;65329.7;63989.03;66679.61;66189.52
Total;2021-28;62483.49;65158.9;63816.52;66510.56;67089.22
Total;2021-29;62384.73;65062.85;63719.1;66415.91;69634.9
Total;2021-30;62362.72;65042.65;63697.99;66396.64;68468.28
Total;2021-31;62417.88;65098.63;63753.56;66453.03;69478.79
Total;2021-32;62549.66;65230.4;63885.34;66584.77;70837
Total;2021-33;62756.67;65436.82;64092.07;66790.84;69999.03
Total;2021-34;63036.57;65715.99;64371.64;67069.58;68725.32
Total;2021-35;63386.11;66065.27;64721.07;67418.65;69573.84
Total;2021-36;63801.15;66481.22;65136.59;67834.97;72810.3
Total;2021-37;64276.62;66959.58;65613.53;68314.71;69814.67
Total;2021-38;64806.62;67495.32;66146.42;68853.27;69308.64
Total;2021-39;65384.37;68082.52;66728.9;69445.18;70479.67
Total;2021-40;66002.37;68714.45;67353.86;70084.08;70939.03
Total;2021-41;66652.37;69383.52;68013.38;70762.74;73098.42
Total;2021-42;67325.5;70081.31;68698.8;71472.96;75018.12
Total;2021-43;68012.45;70798.65;69400.89;72205.67;77392.64
Total;2021-44;68703.4;71525.7;70109.81;72950.98;77692.11
Total;2021-45;69388.53;72251.82;70815.35;73697.87;80612.93
Total;2021-46;70057.61;72966.25;71507;74435.3;82064.9
Total;2021-47;70700.71;73657.8;72174.21;75151.43;84963.51
Total;2021-48;71308.01;74315.24;72806.45;75834.31;89136.46
Total;2021-49;71870.15;74927.56;73393.55;76472.11;88780.22
Total;2021-50;72378.31;75484.22;73925.83;77053.41;86351.72
Total;2021-51;72824.43;75975.43;74394.37;77567.53;86871.01
Total;2021-52;73201.01;76392.68;74791.17;78005.46;86758.77
Total;2022-01;73502.96;76727.36;75109.39;78356.78;84371.55
Total;2022-02;73724.37;76974.33;75343.51;78616.76;83497.42
Total;2022-03;73862.03;77128.71;75489.48;78779.64;83299.38
Total;2022-04;73913.68;77187.76;75544.81;78842.45;85520.78
Total;2022-05;73878.7;77150.51;75508.7;78804.05;86529.92
Total;2022-06;73757.79;77017.87;75381.96;78665.45;83169.34
Total;2022-07;73553.14;76792.64;75167.07;78429.76;82771.08
Total;2022-08;73268.42;76479.31;74868.13;78101.88;79143.77
Total;2022-09;72908.47;76083.98;74490.59;77688.58;77929.77
Total;2022-10;72479.45;75614.31;74041.35;77198.26;75890.15
Total;2022-11;71988.46;75079.05;73528.34;76640.51;68506.6
0to14;2017-13;340.03;427.73;383.05;474.03;375
0to14;2017-14;339.62;427.05;382.5;473.21;378
0to14;2017-15;339.19;426.38;381.96;472.41;414
0to14;2017-16;338.75;425.72;381.41;471.64;392
0to14;2017-17;338.3;425.09;380.87;470.9;411
0to14;2017-18;337.85;424.47;380.34;470.2;418
0to14;2017-19;337.4;423.89;379.82;469.54;349
0to14;2017-20;336.96;423.34;379.33;468.93;381
0to14;2017-21;336.53;422.82;378.86;468.36;359
0to14;2017-22;336.12;422.33;378.41;467.83;374
0to14;2017-23;335.74;421.88;377.99;467.35;413
0to14;2017-24;335.37;421.46;377.6;466.91;435
0to14;2017-25;335.04;421.08;377.24;466.5;357
0to14;2017-26;334.73;420.74;376.92;466.14;404
0to14;2017-27;334.46;420.43;376.62;465.81;414
0to14;2017-28;334.21;420.15;376.36;465.51;370
0to14;2017-29;334.01;419.91;376.14;465.26;399
0to14;2017-30;333.83;419.7;375.95;465.04;378
0to14;2017-31;333.69;419.53;375.79;464.85;373
0to14;2017-32;333.58;419.4;375.67;464.7;370
0to14;2017-33;333.51;419.29;375.58;464.58;395
0to14;2017-34;333.46;419.22;375.53;464.5;343
0to14;2017-35;333.45;419.19;375.5;464.45;389
0to14;2017-36;333.46;419.19;375.51;464.44;343
0to14;2017-37;333.5;419.22;375.55;464.47;365
0to14;2017-38;333.56;419.29;375.61;464.54;383
0to14;2017-39;333.65;419.38;375.7;464.64;368
0to14;2017-40;333.74;419.51;375.81;464.78;391
0to14;2017-41;333.85;419.67;375.94;464.96;377
0to14;2017-42;333.97;419.85;376.09;465.18;375
0to14;2017-43;334.09;420.06;376.25;465.44;392
0to14;2017-44;334.2;420.28;376.42;465.73;334
0to14;2017-45;334.31;420.53;376.6;466.05;355
0to14;2017-46;334.41;420.78;376.77;466.39;400
0to14;2017-47;334.49;421.04;376.93;466.74;425
0to14;2017-48;334.54;421.29;377.08;467.1;353
0to14;2017-49;334.58;421.53;377.22;467.45;392
0to14;2017-50;334.58;421.74;377.32;467.77;403
0to14;2017-51;334.56;421.91;377.39;468.06;385
0to14;2017-52;334.51;422.05;377.43;468.29;437
0to14;2018-01;334.43;422.12;377.43;468.45;384
0to14;2018-02;334.32;422.13;377.37;468.53;413
0to14;2018-03;334.19;422.07;377.27;468.51;356
0to14;2018-04;334.02;421.93;377.12;468.39;366
0to14;2018-05;333.84;421.72;376.92;468.16;368
0to14;2018-06;333.62;421.43;376.67;467.83;390
0to14;2018-07;333.39;421.06;376.37;467.39;382
0to14;2018-08;333.12;420.63;376.03;466.87;361
0to14;2018-09;332.84;420.14;375.64;466.27;400
0to14;2018-10;332.53;419.6;375.22;465.6;394
0to14;2018-11;332.19;419.02;374.77;464.9;388
0to14;2018-12;331.83;418.42;374.29;464.16;370
0to14;2018-13;331.45;417.8;373.8;463.41;421
0to14;2018-14;331.06;417.18;373.29;462.66;379
0to14;2018-15;330.64;416.56;372.77;461.93;377
0to14;2018-16;330.22;415.94;372.26;461.22;397
0to14;2018-17;329.79;415.35;371.75;460.53;348
0to14;2018-18;329.36;414.78;371.25;459.89;344
0to14;2018-19;328.93;414.23;370.76;459.28;359
0to14;2018-20;328.5;413.71;370.29;458.71;370
0to14;2018-21;328.09;413.23;369.84;458.19;365
0to14;2018-22;327.7;412.77;369.42;457.7;338
0to14;2018-23;327.32;412.35;369.02;457.25;396
0to14;2018-24;326.97;411.96;368.64;456.84;366
0to14;2018-25;326.64;411.6;368.3;456.47;362
0to14;2018-26;326.34;411.27;367.99;456.13;370
0to14;2018-27;326.07;410.98;367.71;455.83;405
0to14;2018-28;325.83;410.72;367.46;455.56;390
0to14;2018-29;325.63;410.5;367.24;455.33;385
0to14;2018-30;325.45;410.31;367.06;455.13;407
0to14;2018-31;325.31;410.15;366.91;454.96;373
0to14;2018-32;325.2;410.02;366.79;454.82;403
0to14;2018-33;325.12;409.92;366.7;454.72;350
0to14;2018-34;325.06;409.86;366.65;454.65;385
0to14;2018-35;325.04;409.83;366.62;454.62;315
0to14;2018-36;325.05;409.83;366.62;454.62;331
0to14;2018-37;325.07;409.87;366.65;454.66;401
0to14;2018-38;325.13;409.93;366.71;454.73;420
0to14;2018-39;325.2;410.03;366.79;454.84;339
0to14;2018-40;325.28;410.15;366.9;454.98;371
0to14;2018-41;325.38;410.3;367.02;455.16;401
0to14;2018-42;325.49;410.48;367.16;455.38;399
0to14;2018-43;325.6;410.68;367.32;455.63;341
0to14;2018-44;325.7;410.9;367.48;455.91;343
0to14;2018-45;325.81;411.14;367.65;456.23;408
0to14;2018-46;325.9;411.39;367.81;456.56;392
0to14;2018-47;325.97;411.64;367.97;456.91;396
0to14;2018-48;326.03;411.89;368.12;457.27;379
0to14;2018-49;326.06;412.13;368.25;457.61;390
0to14;2018-50;326.07;412.34;368.36;457.95;390
0to14;2018-51;326.05;412.53;368.44;458.24;401
0to14;2018-52;326;412.67;368.49;458.49;344
0to14;2019-01;325.93;412.76;368.49;458.68;412
0to14;2019-02;325.83;412.8;368.46;458.79;410
0to14;2019-03;325.7;412.77;368.38;458.81;412
0to14;2019-04;325.55;412.67;368.25;458.74;369
0to14;2019-05;325.37;412.49;368.07;458.57;428
0to14;2019-06;325.17;412.24;367.84;458.29;407
0to14;2019-07;324.94;411.93;367.57;457.93;421
0to14;2019-08;324.69;411.54;367.26;457.48;412
0to14;2019-09;324.41;411.1;366.9;456.95;400
0to14;2019-10;324.12;410.62;366.52;456.36;381
0to14;2019-11;323.8;410.09;366.1;455.72;372
0to14;2019-12;323.46;409.54;365.65;455.05;358
0to14;2019-13;323.09;408.97;365.19;454.37;353
0to14;2019-14;322.72;408.39;364.71;453.68;381
0to14;2019-15;322.32;407.81;364.23;453.01;404
0to14;2019-16;321.92;407.24;363.75;452.35;345
0to14;2019-17;321.51;406.69;363.27;451.72;367
0to14;2019-18;321.1;406.15;362.79;451.11;384
0to14;2019-19;320.68;405.64;362.33;450.55;317
0to14;2019-20;320.28;405.15;361.89;450.02;351
0to14;2019-21;319.89;404.69;361.46;449.52;371
0to14;2019-22;319.51;404.26;361.05;449.07;338
0to14;2019-23;319.15;403.86;360.67;448.65;380
0to14;2019-24;318.81;403.49;360.32;448.27;348
0to14;2019-25;318.49;403.16;359.99;447.92;361
0to14;2019-26;318.2;402.85;359.69;447.6;367
0to14;2019-27;317.94;402.57;359.42;447.32;359
0to14;2019-28;317.7;402.33;359.19;447.08;381
0to14;2019-29;317.5;402.12;358.98;446.86;337
0to14;2019-30;317.32;401.94;358.8;446.68;400
0to14;2019-31;317.18;401.79;358.65;446.53;415
0to14;2019-32;317.07;401.67;358.54;446.41;343
0to14;2019-33;316.98;401.58;358.45;446.32;364
0to14;2019-34;316.92;401.53;358.39;446.27;397
0to14;2019-35;316.89;401.5;358.36;446.25;368
0to14;2019-36;316.89;401.51;358.36;446.26;338
0to14;2019-37;316.91;401.54;358.39;446.3;358
0to14;2019-38;316.95;401.61;358.44;446.38;391
0to14;2019-39;317;401.7;358.52;446.5;339
0to14;2019-40;317.08;401.83;358.62;446.65;378
0to14;2019-41;317.16;401.98;358.73;446.83;345
0to14;2019-42;317.26;402.15;358.87;447.05;355
0to14;2019-43;317.36;402.35;359.01;447.3;376
0to14;2019-44;317.46;402.57;359.17;447.58;318
0to14;2019-45;317.55;402.8;359.33;447.89;357
0to14;2019-46;317.63;403.04;359.49;448.23;381
0to14;2019-47;317.7;403.29;359.65;448.58;378
0to14;2019-48;317.75;403.54;359.79;448.93;397
0to14;2019-49;317.78;403.78;359.93;449.29;409
0to14;2019-50;317.79;404;360.04;449.62;425
0to14;2019-51;317.77;404.19;360.12;449.93;389
0to14;2019-52;317.73;404.35;360.17;450.2;402
0to14;2020-01;317.66;404.46;360.19;450.41;363
0to14;2020-02;317.57;404.52;360.17;450.55;377
0to14;2020-03;317.45;404.51;360.1;450.62;375
0to14;2020-04;317.3;404.44;359.99;450.59;399
0to14;2020-05;317.13;404.31;359.84;450.47;393
0to14;2020-06;316.94;404.1;359.64;450.25;380
0to14;2020-07;316.72;403.82;359.39;449.95;361
0to14;2020-08;316.48;403.49;359.11;449.56;379
0to14;2020-09;316.22;403.1;358.78;449.1;357
0to14;2020-10;315.94;402.66;358.42;448.57;367
0to14;2020-11;315.64;402.18;358.03;448;380
0to14;2020-12;315.31;401.67;357.62;447.39;376
0to14;2020-13;314.97;401.14;357.19;446.77;390
0to14;2020-14;314.61;400.61;356.75;446.13;374
0to14;2020-15;314.24;400.07;356.29;445.5;362
0to14;2020-16;313.86;399.54;355.84;444.89;343
0to14;2020-17;313.47;399.01;355.38;444.3;347
0to14;2020-18;313.08;398.51;354.94;443.73;339
0to14;2020-19;312.69;398.03;354.5;443.2;346
0to14;2020-20;312.3;397.56;354.08;442.7;352
0to14;2020-21;311.93;397.13;353.67;442.23;351
0to14;2020-22;311.57;396.72;353.29;441.8;345
0to14;2020-23;311.22;396.34;352.93;441.41;355
0to14;2020-24;310.9;395.99;352.59;441.04;325
0to14;2020-25;310.59;395.67;352.28;440.72;341
0to14;2020-26;310.31;395.38;351.99;440.42;362
0to14;2020-27;310.06;395.12;351.73;440.16;330
0to14;2020-28;309.83;394.89;351.5;439.93;326
0to14;2020-29;309.63;394.69;351.3;439.73;333
0to14;2020-30;309.46;394.52;351.13;439.57;395
0to14;2020-31;309.31;394.38;350.99;439.43;350
0to14;2020-32;309.2;394.27;350.87;439.32;322
0to14;2020-33;309.11;394.19;350.79;439.25;367
0to14;2020-34;309.05;394.14;350.73;439.21;321
0to14;2020-35;309.01;394.12;350.7;439.2;330
0to14;2020-36;308.99;394.13;350.7;439.22;328
0to14;2020-37;309;394.17;350.72;439.28;355
0to14;2020-38;309.03;394.24;350.77;439.37;359
0to14;2020-39;309.08;394.33;350.84;439.49;362
0to14;2020-40;309.14;394.46;350.93;439.64;321
0to14;2020-41;309.22;394.61;351.04;439.83;349
0to14;2020-42;309.3;394.78;351.17;440.06;298
0to14;2020-43;309.38;394.97;351.31;440.31;338
0to14;2020-44;309.47;395.19;351.46;440.6;300
0to14;2020-45;309.55;395.42;351.61;440.91;355
0to14;2020-46;309.63;395.66;351.77;441.25;334
0to14;2020-47;309.69;395.91;351.92;441.6;325
0to14;2020-48;309.74;396.16;352.06;441.96;324
0to14;2020-49;309.77;396.4;352.2;442.32;351
0to14;2020-50;309.77;396.63;352.31;442.66;337
0to14;2020-51;309.76;396.83;352.4;442.99;347
0to14;2020-52;309.72;397;352.46;443.27;326
0to14;2020-53;309.65;397.12;352.48;443.51;344
0to14;2021-01;309.56;397.2;352.47;443.68;310
0to14;2021-02;309.44;397.22;352.42;443.78;320
0to14;2021-03;309.31;397.18;352.33;443.79;321
0to14;2021-04;309.14;397.08;352.19;443.72;354
0to14;2021-05;308.96;396.91;352.02;443.56;327
0to14;2021-06;308.76;396.67;351.8;443.31;341
0to14;2021-07;308.53;396.38;351.54;442.98;329
0to14;2021-08;308.28;396.03;351.24;442.57;304
0to14;2021-09;308.02;395.63;350.91;442.11;380
0to14;2021-10;307.73;395.2;350.55;441.59;311
0to14;2021-11;307.55;394.59;350.17;440.74;358
0to14;2021-12;307.1;394.24;349.77;440.46;339.21
0to14;2021-13;306.76;393.75;349.35;439.87;357.7
0to14;2021-14;306.46;393.19;348.93;439.18;308.46
0to14;2021-15;306.06;392.74;348.5;438.71;343.78
0to14;2021-16;305.69;392.25;348.07;438.16;326.26
0to14;2021-17;305.32;391.77;347.65;437.62;364.09
