group;week;zscore
Total;2021-32;10.19
Total;2021-33;8.68
Total;2021-34;6.42
Total;2021-35;7.15
Total;2021-36;11.23
Total;2021-37;6.19
Total;2021-38;4.66
Total;2021-39;5.5
Total;2021-40;5.24
Total;2021-41;7.35
Total;2021-42;9.03
Total;2021-43;11.26
Total;2021-44;10.56
Total;2021-45;13.38
Total;2021-46;14.18
Total;2021-47;16.82
Total;2021-48;20.98
Total;2021-49;19.48
Total;2021-50;15.58
Total;2021-51;15.42
Total;2021-52;14.62
Total;2022-01;11.26
Total;2022-02;9.86
Total;2022-03;9.4
Total;2022-04;11.93
Total;2022-05;13.16
Total;2022-06;9.39
Total;2022-07;9.23
Total;2022-08;5.27
Total;2022-09;4.29
Total;2022-10;2.34
Total;2022-11;-6.58
0to14;2017-13;-0.37
0to14;2017-14;-0.21
0to14;2017-15;1.44
0to14;2017-16;0.48
0to14;2017-17;1.37
0to14;2017-18;1.71
0to14;2017-19;-1.45
0to14;2017-20;0.07
0to14;2017-21;-0.93
0to14;2017-22;-0.21
0to14;2017-23;1.6
0to14;2017-24;2.6
0to14;2017-25;-0.95
0to14;2017-26;1.24
0to14;2017-27;1.71
0to14;2017-28;-0.3
0to14;2017-29;1.05
0to14;2017-30;0.09
0to14;2017-31;-0.14
0to14;2017-32;-0.27
0to14;2017-33;0.89
0to14;2017-34;-1.54
0to14;2017-35;0.62
0to14;2017-36;-1.54
0to14;2017-37;-0.5
0to14;2017-38;0.34
0to14;2017-39;-0.37
0to14;2017-40;0.7
0to14;2017-41;0.04
0to14;2017-42;-0.06
0to14;2017-43;0.72
0to14;2017-44;-2.02
0to14;2017-45;-1.02
0to14;2017-46;1.06
0to14;2017-47;2.17
0to14;2017-48;-1.13
0to14;2017-49;0.67
0to14;2017-50;1.16
0to14;2017-51;0.34
0to14;2017-52;2.65
0to14;2018-01;0.29
0to14;2018-02;1.59
0to14;2018-03;-0.98
0to14;2018-04;-0.51
0to14;2018-05;-0.41
0to14;2018-06;0.6
0to14;2018-07;0.25
0to14;2018-08;-0.7
0to14;2018-09;1.1
0to14;2018-10;0.85
0to14;2018-11;0.6
0to14;2018-12;-0.2
0to14;2018-13;2.14
0to14;2018-14;0.26
0to14;2018-15;0.19
0to14;2018-16;1.14
0to14;2018-17;-1.13
0to14;2018-18;-1.3
0to14;2018-19;-0.56
0to14;2018-20;-0.02
0to14;2018-21;-0.23
0to14;2018-22;-1.5
0to14;2018-23;1.25
0to14;2018-24;-0.13
0to14;2018-25;-0.3
0to14;2018-26;0.09
0to14;2018-27;1.72
0to14;2018-28;1.05
0to14;2018-29;0.82
0to14;2018-30;1.84
0to14;2018-31;0.28
0to14;2018-32;1.68
0to14;2018-33;-0.8
0to14;2018-34;0.85
0to14;2018-35;-2.5
0to14;2018-36;-1.71
0to14;2018-37;1.59
0to14;2018-38;2.45
0to14;2018-39;-1.33
0to14;2018-40;0.19
0to14;2018-41;1.57
0to14;2018-42;1.47
0to14;2018-43;-1.26
0to14;2018-44;-1.17
0to14;2018-45;1.85
0to14;2018-46;1.11
0to14;2018-47;1.29
0to14;2018-48;0.5
0to14;2018-49;1
0to14;2018-50;0.99
0to14;2018-51;1.48
0to14;2018-52;-1.15
0to14;2019-01;1.96
0to14;2019-02;1.87
0to14;2019-03;1.96
0to14;2019-04;0.03
0to14;2019-05;2.68
0to14;2019-06;1.76
0to14;2019-07;2.39
0to14;2019-08;2.02
0to14;2019-09;1.5
0to14;2019-10;0.66
0to14;2019-11;0.27
0to14;2019-12;-0.36
0to14;2019-13;-0.58
0to14;2019-14;0.75
0to14;2019-15;1.82
0to14;2019-16;-0.89
0to14;2019-17;0.17
0to14;2019-18;0.98
0to14;2019-19;-2.19
0to14;2019-20;-0.52
0to14;2019-21;0.44
0to14;2019-22;-1.1
0to14;2019-23;0.9
0to14;2019-24;-0.59
0to14;2019-25;0.04
0to14;2019-26;0.34
0to14;2019-27;-0.03
0to14;2019-28;1.02
0to14;2019-29;-1.05
0to14;2019-30;1.91
0to14;2019-31;2.59
0to14;2019-32;-0.74
0to14;2019-33;0.26
0to14;2019-34;1.79
0to14;2019-35;0.45
0to14;2019-36;-0.98
0to14;2019-37;-0.02
0to14;2019-38;1.51
0to14;2019-39;-0.94
0to14;2019-40;0.9
0to14;2019-41;-0.66
0to14;2019-42;-0.19
0to14;2019-43;0.79
0to14;2019-44;-1.98
0to14;2019-45;-0.11
0to14;2019-46;0.99
0to14;2019-47;0.85
0to14;2019-48;1.7
0to14;2019-49;2.23
0to14;2019-50;2.92
0to14;2019-51;1.31
0to14;2019-52;1.89
0to14;2020-01;0.12
0to14;2020-02;0.76
0to14;2020-03;0.67
0to14;2020-04;1.75
0to14;2020-05;1.49
0to14;2020-06;0.92
0to14;2020-07;0.07
0to14;2020-08;0.9
0to14;2020-09;-0.09
0to14;2020-10;0.39
0to14;2020-11;1
0to14;2020-12;0.84
0to14;2020-13;1.49
0to14;2020-14;0.79
0to14;2020-15;0.26
0to14;2020-16;-0.61
0to14;2020-17;-0.4
0to14;2020-18;-0.76
0to14;2020-19;-0.41
0to14;2020-20;-0.1
0to14;2020-21;-0.13
0to14;2020-22;-0.4
0to14;2020-23;0.09
0to14;2020-24;-1.32
0to14;2020-25;-0.54
0to14;2020-26;0.46
0to14;2020-27;-1.04
0to14;2020-28;-1.22
0to14;2020-29;-0.87
0to14;2020-30;2.02
0to14;2020-31;-0.05
0to14;2020-32;-1.38
0to14;2020-33;0.75
0to14;2020-34;-1.42
0to14;2020-35;-0.99
0to14;2020-36;-1.08
0to14;2020-37;0.2
0to14;2020-38;0.38
0to14;2020-39;0.52
0to14;2020-40;-1.43
0to14;2020-41;-0.1
0to14;2020-42;-2.56
0to14;2020-43;-0.63
0to14;2020-44;-2.47
0to14;2020-45;0.15
0to14;2020-46;-0.84
0to14;2020-47;-1.27
0to14;2020-48;-1.32
0to14;2020-49;-0.06
0to14;2020-50;-0.72
0to14;2020-51;-0.25
0to14;2020-52;-1.23
0to14;2020-53;-0.39
0to14;2021-01;-1.98
0to14;2021-02;-1.51
0to14;2021-03;-1.45
0to14;2021-04;0.08
0to14;2021-05;-1.16
0to14;2021-06;-0.5
0to14;2021-07;-1.04
0to14;2021-08;-2.21
0to14;2021-09;1.3
0to14;2021-10;-1.85
0to14;2021-11;0.35
0to14;2021-12;-0.49
0to14;2021-13;0.38
0to14;2021-14;-1.91
0to14;2021-15;-0.22
