group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2018-20;63227.88;65789.51;64504.46;67082.99;62661
Total;2018-21;62656.55;65206.33;63927.2;66493.88;63287
Total;2018-22;62120.07;64662.84;63387.2;65946.92;63628
Total;2018-23;61625.79;64165.58;62891.41;65448.24;62115
Total;2018-24;61180.4;63720.28;62446.03;65003.08;60560
Total;2018-25;60789.79;63331.92;62056.52;64615.95;61559
Total;2018-26;60459.11;63004.68;61727.52;64290.53;63395
Total;2018-27;60192.64;62742.06;61462.94;64029.92;63472
Total;2018-28;59993.81;62546.83;61265.89;63836.58;61511
Total;2018-29;59865.27;62420.95;61138.66;63712.09;63119
Total;2018-30;59808.66;62365.87;61082.8;63657.8;65690
Total;2018-31;59824.83;62382.2;61099.05;63674.21;68597
Total;2018-32;59913.7;62469.93;61187.36;63761.34;66115
Total;2018-33;60074.38;62628.34;61346.93;63918.54;61830
Total;2018-34;60305.1;62855.98;61576.13;64144.57;61857
Total;2018-35;60603.05;63150.77;61872.54;64437.68;60800
Total;2018-36;60964.74;63509.84;62232.95;64795.34;61788
Total;2018-37;61385.71;63929.58;62653.34;65214.37;61607
Total;2018-38;61860.69;64405.61;63128.87;65690.84;63000
Total;2018-39;62383.58;64932.8;63653.93;66220.11;62288
Total;2018-40;62947.49;65505.23;64222.12;66796.78;64436
Total;2018-41;63544.91;66116.14;64826.28;67414.44;65740
Total;2018-42;64167.55;66758.1;65458.55;68066.13;63626
Total;2018-43;64806.89;67422.66;66110.46;68743.43;64231
Total;2018-44;65453.83;68100.87;66772.98;69437.45;66393
Total;2018-45;66099.89;68782.29;67436.64;70136.77;67567
Total;2018-46;66733.05;69459.41;68091.68;70836.17;66242
Total;2018-47;67346.54;70119.11;68728.17;71519.32;67648
Total;2018-48;67930.14;70751.82;69336.2;72176.96;69106
Total;2018-49;68475.35;71346.64;69906.08;72796.96;69930
Total;2018-50;68973.31;71893.79;70428.5;73369.1;70004
Total;2018-51;69416.41;72383.56;70894.81;73882.59;72704
Total;2018-52;69797.66;72807.15;71297.11;74327.71;72223
Total;2019-01;70110.95;73156.92;71628.54;74696.02;75867
Total;2019-02;70351.38;73426.29;71883.35;74980.11;78863
Total;2019-03;70515.05;73610.42;72057.19;75174.64;78851
Total;2019-04;70599.42;73705.9;72147.09;75275.78;79370
Total;2019-05;70603.2;73711.06;72151.55;75281.65;80128
Total;2019-06;70526.53;73626;72070.71;75192.32;80371
Total;2019-07;70370.83;73452.53;71906.17;75009.81;78646
Total;2019-08;70138.84;73194.13;71661.05;74737.98;77503
Total;2019-09;69834.52;72855.98;71339.92;74382.63;77084
Total;2019-10;69463.06;72444.52;70948.57;73950.84;74776
Total;2019-11;69030.55;71967.56;70493.96;73451.29;72918
Total;2019-12;68544.07;71433.92;69984.02;72893.7;70074
Total;2019-13;68011.37;70853.2;69427.44;72288.59;68812
Total;2019-14;67440.88;70235.54;68833.49;71647;69835
Total;2019-15;66841.49;69591.38;68211.82;70980.13;67694
Total;2019-16;66222.26;68931.35;67572.28;70299.41;68641
Total;2019-17;65592.56;68265.71;66924.68;69615.57;67666
Total;2019-18;64961.71;67604.52;66278.73;68939.05;65609
Total;2019-19;64338.9;66957.37;65643.78;68279.6;65691
Total;2019-20;63733.12;66333.1;65028.78;67646.02;65592
Total;2019-21;63152.93;65740;64442.14;67046.46;64968
Total;2019-22;62606.44;65185.53;63891.64;66488.03;64141
Total;2019-23;62101.12;64676.39;63384.4;65977.05;64433
Total;2019-24;61643.8;64218.53;62926.78;65519.01;63359
Total;2019-25;61240.65;63817.01;62524.4;65118.39;63443
Total;2019-26;60896.88;63476.3;62182.13;64779.32;65745
Total;2019-27;60616.96;63199.99;61903.99;64504.92;64171
Total;2019-28;60404.54;62991.03;61693.27;64297.76;62229
Total;2019-29;60262.4;62851.54;61552.43;64159.66;62321
Total;2019-30;60192.35;62783.08;61483.16;64092.03;68626
Total;2019-31;60195.37;62786.41;61486.34;64095.51;62468
Total;2019-32;60271.63;62861.65;61562.1;64170.22;62145
Total;2019-33;60420.31;63008.19;61709.73;64315.64;60759
Total;2019-34;60639.8;63224.71;61927.76;64530.6;62090
Total;2019-35;60927.43;63509.3;62213.9;64813.57;64273
Total;2019-36;61279.88;63859.13;62565.08;65161.99;60997
Total;2019-37;61692.8;64270.75;62977.37;65572.85;62242
Total;2019-38;62161.04;64739.86;63446.08;66042.31;63170
Total;2019-39;62678.57;65261.53;63965.7;66565.99;64673
Total;2019-40;63238.73;65829.77;64529.91;67138.24;64658
Total;2019-41;63833.8;66438.24;65131.68;67753.41;66591
Total;2019-42;64455.9;67079.22;65763.2;68403.91;66586
Total;2019-43;65096.34;67744.59;66416.06;69081.85;66969
Total;2019-44;65745.98;68425.53;67081.29;69778.63;67567
Total;2019-45;66395.66;69112.24;67749.41;70484.09;68480
Total;2019-46;67035.83;69794.77;68410.66;71188.09;70016
Total;2019-47;67657;70462.63;69055.06;71879.63;71102
Total;2019-48;68249.86;71105.16;69672.64;72547.37;71014
Total;2019-49;68805.39;71711.77;70253.57;73179.93;72194
Total;2019-50;69315.05;72272.15;70788.45;73766.08;73544
Total;2019-51;69770.87;72776.5;71268.41;74295.09;75063
Total;2019-52;70165.66;73215.84;71685.34;74757.07;72865
Total;2020-01;70493.17;73582.18;72032.16;75143.16;75633
Total;2020-02;70748.1;73868.87;72302.87;75446.01;77978
Total;2020-03;70926.55;74070.46;72492.82;75659.37;76488
Total;2020-04;71025.38;74183.58;72598.76;75779.77;75406
Total;2020-05;71043.39;74205.96;72618.94;75804.38;77476
Total;2020-06;70980.32;74137.46;72553.16;75733.13;74661
Total;2020-07;70837.44;73979.52;72402.8;75567.53;74988
Total;2020-08;70617.25;73735.41;72170.72;75311.25;72217
Total;2020-09;70323.45;73410.02;71861.21;74969.8;73436
Total;2020-10;69961.07;73009.62;71479.93;74550.06;73889
Total;2020-11;69536.15;72541.8;71033.67;74060.44;75735
Total;2020-12;69055.65;72015.21;70530.25;73510.43;82739
Total;2020-13;68527.24;71439.42;69978.28;72910.59;95366
Total;2020-14;67959.3;70824.54;69386.99;72271.89;107202
Total;2020-15;67360.64;70181.03;68766.01;71605.61;105173
Total;2020-16;66740.49;69519.49;68125.26;70923.09;94005
Total;2020-17;66108.16;68850.37;67474.62;70235.34;84070
Total;2020-18;65473.07;68183.85;66823.88;69552.92;76004
Total;2020-19;64844.47;67529.63;66182.51;68885.76;72223
Total;2020-20;64231.47;66896.78;65559.61;68242.92;67820
Total;2020-21;63642.72;66293.8;64963.75;67632.81;67166
Total;2020-22;63086.5;65728.28;64402.87;67062.65;64640
Total;2020-23;62570.43;65207.14;63884.25;66539.03;64185
Total;2020-24;62101.46;64736.55;63414.44;66067.71;62778
Total;2020-25;61685.92;64321.72;62999.23;65653.35;62279
Total;2020-26;61329.22;63967.34;62643.65;65300.23;65126
Total;2020-27;61036.07;63677.08;62351.91;65011.5;62755
Total;2020-28;60810.02;63454.24;62127.44;64790.36;62085
Total;2020-29;60654.23;63300.97;61972.89;64638.41;62977
Total;2020-30;60570.66;63218.95;61890.08;64557.2;63709
Total;2020-31;60560.44;63209.12;61880.06;64547.56;66149
Total;2020-32;60623.86;63271.7;61943.06;64609.71;65636
Total;2020-33;60760.28;63406.25;62078.57;64743.27;70809
Total;2020-34;60968.21;63611.58;62285.22;64947.22;64849
Total;2020-35;61245.22;63885.8;62560.86;65219.95;63374
Total;2020-36;61588.01;64226.32;62902.55;65559.25;64000
Total;2020-37;61992.49;64629.67;63306.5;65961.93;65671
Total;2020-38;62453.57;65091.77;63768.12;66424.45;67319
Total;2020-39;62965.26;65607.82;64282.02;66942.63;66104
Total;2020-40;63521.05;66171.93;64841.97;67510.86;68379
Total;2020-41;64113.51;66777.63;65441.05;68123.18;68863
Total;2020-42;64734.56;67417.57;66071.53;68772.63;70628
Total;2020-43;65375.67;68083.61;66725.06;69451.26;76365
Total;2020-44;66027.79;68766.9;67392.7;70150.31;80089
Total;2020-45;66681.56;69457.89;68065.01;70860.15;83616
Total;2020-46;67327.52;70146.53;68732.2;71570.42;85890
Total;2020-47;67956.11;70822.31;69384.28;72270.15;85557
Total;2020-48;68557.91;71474.56;70011.17;72948.01;86455
Total;2020-49;69123.77;72092.6;70602.98;73592.55;88424
Total;2020-50;69645.03;72665.97;71150.16;74192.4;90077
Total;2020-51;70113.5;73184.72;71643.62;74736.71;90088
Total;2020-52;70521.82;73639.66;72075.12;75215.36;90532
Total;2020-53;70863.51;74022.59;72437.31;75619.26;92293
Total;2021-01;71133.1;74326.49;72723.95;75940.62;94934
Total;2021-02;71326.26;74545.78;72930.1;76173.22;97963
Total;2021-03;71439.94;74676.47;73052.23;76312.57;99830
Total;2021-04;71472.36;74716.2;73088.28;76356.03;94883
Total;2021-05;71423.16;74664.44;73037.81;76302.97;88567
Total;2021-06;71293.3;74522.36;72901.87;76154.68;83618
Total;2021-07;71085.08;74292.91;72683.09;75914.43;81085
Total;2021-08;70802.05;73980.73;72385.57;75587.43;75515
Total;2021-09;70449.21;73591.66;72014.72;75179.94;73051
Total;2021-10;70032.25;73133.33;71577.19;74700.59;73562
Total;2021-11;69557.98;72614.28;71080.66;74158.79;72992
Total;2021-12;69034.26;72043.74;70533.65;73564.45;72962
Total;2021-13;68469.1;71432.1;69945.37;72929.22;73770
Total;2021-14;67871.57;70789.57;69325.45;72263.86;73076
Total;2021-15;67250.81;70126.86;68683.82;71579.86;72597
Total;2021-16;66616.2;69454.52;68030.42;70888.41;72510
Total;2021-17;65977.19;68782.84;67375.15;70200.21;71261
Total;2021-18;65343.15;68121.69;66727.6;69525.36;71163
Total;2021-19;64723.26;67480.36;66097.02;68873.22;67955
Total;2021-20;64126.32;66867.44;65492.1;68252.27;66151
Total;2021-21;63560.61;66290.85;64920.94;67670.26;65121
Total;2021-22;63034.09;65757.59;64391.04;67133.67;66016
Total;2021-23;62553.71;65274.12;63909.09;66648.73;64697
Total;2021-24;62125.96;64845.88;63481.07;66220.34;66572
Total;2021-25;61756.47;64477.65;63112.17;65852.83;64291
Total;2021-26;61450;64173.4;62806.78;65549.8;65195
Total;2021-27;61210.53;63936.38;62568.51;65314.08;64903
Total;2021-28;61041.11;63769.09;62400.13;65147.92;66109
Total;2021-29;60943.94;63673.31;62303.64;65052.87;68327
Total;2021-30;60920.36;63650.13;62280.26;65029.89;67090
Total;2021-31;60970.8;63699.9;62330.37;65079.31;68090
Total;2021-32;61094.75;63822.28;62453.55;65200.87;69292
Total;2021-33;61290.88;64016.24;62648.62;65393.66;68511
Total;2021-34;61556.92;64279.98;62913.54;65656.17;67171
Total;2021-35;61889.75;64611.01;63245.5;65986.2;68014
Total;2021-36;62285.33;65006.07;63640.85;66380.91;71501
Total;2021-37;62738.74;65461.11;64095.11;66836.68;68239
Total;2021-38;63244.25;65971.34;64603;67349.21;67896
Total;2021-39;63795.29;66531.11;65158.41;67913.32;69097
Total;2021-40;64384.59;67133.99;65754.5;68522.99;69575
Total;2021-41;65004.19;67772.72;66383.65;69171.36;71860
Total;2021-42;65645.54;68439.25;67037.54;69850.59;73537
Total;2021-43;66299.66;69124.77;67707.31;70552;75930
Total;2021-44;66957.22;69819.81;68383.52;71266.01;76143
Total;2021-45;67608.66;70514.3;69056.39;71982.33;79119.24
Total;2021-46;68244.4;71197.77;69715.87;72690.02;80835.55
Total;2021-47;68854.93;71859.49;70351.87;73377.74;83720.85
Total;2021-48;69430.99;72488.72;70954.36;74033.97;87653.76
Total;2021-49;69963.72;73074.87;71513.66;74647.29;87310.02
Total;2021-50;70444.79;73607.86;72020.54;75206.67;85004.14
Total;2021-51;70866.65;74078.27;72466.53;75701.79;85416.64
Total;2021-52;71222.58;74477.66;72844.06;76123.29;85560.33
Total;2022-01;71506.88;74798.75;73146.64;76463.12;82922.24
Total;2022-02;71714.96;75035.67;73369.05;76714.72;82026.41
Total;2022-03;71843.52;75184.08;73507.48;76873.24;81898.89
Total;2022-04;71890.6;75241.33;73559.61;76935.69;83786.73
Total;2022-05;71855.48;75206.53;73524.64;76901.06;84428.76
Total;2022-06;71738.85;75080.62;73403.4;76770.43;81378.46
Total;2022-07;71543.01;74866.04;73198.24;76546.32;80867.33
Total;2022-08;71271.16;74567.28;72913.01;76233.88;77272.65
Total;2022-09;70928;74190.1;72552.94;75839.39;76945.22
Total;2022-10;70519.26;73741.72;72124.49;75370.87;77605.74
Total;2022-11;70051.66;73230.52;71635.22;74837.5;77697.86
Total;2022-12;69532.79;72665.81;71093.55;74249.5;77695.76
Total;2022-13;68970.93;72057.62;70508.64;73617.77;78071.43
Total;2022-14;68374.89;71416.39;69890.12;72953.6;78706.72
Total;2022-15;67753.88;70752.81;69247.93;72268.42;76939.66
Total;2022-16;67117.34;70077.5;68592.1;71573.48;73614.12
Total;2022-17;66474.77;69400.89;67932.58;70879.62;72665.63
Total;2022-18;65835.62;68732.97;67279.1;70197.17;71513.82
Total;2022-19;65209.16;68083.21;66641.02;69535.66;71063.61
Total;2022-20;64604.28;67460.41;66027.2;68903.85;69819.61
Total;2022-21;64029.5;66872.66;65445.93;68309.61;66004.13
Total;2022-22;63492.66;66327.32;64904.83;67760.04;67901.43
Total;2022-23;63001.12;65830.86;64410.81;67261.19;67335.64
Total;2022-24;62561.38;65389.03;63969.99;66818.41;70352.22
Total;2022-25;62179.23;65006.78;63587.76;66436.19;69494.83
Total;2022-26;61859.64;64688.29;63268.69;66118.35;69333.47
Total;2022-27;61606.7;64436.96;63016.53;65867.9;70366.94
Total;2022-28;61423.64;64255.46;62834.23;65687.24;74052.03
Total;2022-29;61312.86;64145.73;62723.97;65578.07;78913.91
Total;2022-30;61275.82;64109;62687.07;65541.51;74320.85
Total;2022-31;61313.08;64145.76;62724.09;65578.02;72550.53
Total;2022-32;61424.36;64255.81;62834.77;65687.4;73409.65
Total;2022-33;61608.45;64438.22;63018.04;65868.91;70797.42
Total;2022-34;61863.24;64691.33;63272.02;66121.1;68270.66
Total;2022-35;62185.74;65012.75;63594.01;66441.89;66278.02
Total;2022-36;62572.09;65399.33;63980.5;66828.49;66827.33
Total;2022-37;63017.48;65847.13;64427.13;67277.42;66376.02
Total;2022-38;63516.33;66351.45;64928.73;67784.41;68978.4
Total;2022-39;64062.2;66906.74;65479.32;68344.38;72628.94
Total;2022-40;64647.92;67506.65;66072.13;68951.41;74283.12
Total;2022-41;65265.61;68144.01;66699.64;69598.67;75109.39
Total;2022-42;65906.8;68810.85;67353.61;70278.45;72273.5
Total;2022-43;66562.53;69498.42;68025.2;70982.13;64950.35
0to14;2016-45;327.18;415.63;370.53;462.43;375
0to14;2016-46;327.08;415.52;370.42;462.31;363
0to14;2016-47;326.96;415.4;370.3;462.19;347
0to14;2016-48;326.83;415.26;370.16;462.05;391
0to14;2016-49;326.68;415.11;370.02;461.9;396
0to14;2016-50;326.52;414.94;369.85;461.73;399
0to14;2016-51;326.34;414.76;369.67;461.54;404
0to14;2016-52;326.15;414.55;369.47;461.33;412
0to14;2017-01;325.94;414.32;369.25;461.09;377
0to14;2017-02;325.72;414.06;369.01;460.81;403
0to14;2017-03;325.48;413.78;368.75;460.52;357
0to14;2017-04;325.23;413.48;368.47;460.19;385
0to14;2017-05;324.96;413.16;368.18;459.84;404
0to14;2017-06;324.69;412.82;367.87;459.46;381
0to14;2017-07;324.41;412.46;367.55;459.06;360
0to14;2017-08;324.11;412.08;367.22;458.64;370
0to14;2017-09;323.81;411.7;366.88;458.21;374
0to14;2017-10;323.51;411.31;366.53;457.77;394
0to14;2017-11;323.2;410.91;366.18;457.32;378
0to14;2017-12;322.89;410.51;365.82;456.88;348
0to14;2017-13;322.58;410.11;365.47;456.44;353
0to14;2017-14;322.26;409.72;365.12;456;363
0to14;2017-15;321.95;409.33;364.77;455.58;393
0to14;2017-16;321.65;408.96;364.43;455.16;377
0to14;2017-17;321.35;408.59;364.1;454.76;383
0to14;2017-18;321.05;408.24;363.77;454.38;405
0to14;2017-19;320.77;407.9;363.46;454.01;338
0to14;2017-20;320.49;407.57;363.16;453.66;366
0to14;2017-21;320.22;407.26;362.87;453.32;341
0to14;2017-22;319.97;406.96;362.59;453;358
0to14;2017-23;319.72;406.68;362.33;452.7;394
0to14;2017-24;319.49;406.41;362.08;452.42;417
0to14;2017-25;319.28;406.16;361.85;452.15;345
0to14;2017-26;319.07;405.92;361.63;451.89;385
0to14;2017-27;318.88;405.7;361.42;451.65;386
0to14;2017-28;318.7;405.49;361.23;451.43;354
0to14;2017-29;318.54;405.3;361.05;451.22;373
0to14;2017-30;318.38;405.12;360.88;451.03;358
0to14;2017-31;318.24;404.95;360.73;450.84;346
0to14;2017-32;318.12;404.79;360.59;450.67;345
0to14;2017-33;318;404.65;360.46;450.52;370
0to14;2017-34;317.89;404.51;360.34;450.36;329
0to14;2017-35;317.8;404.39;360.23;450.23;367
0to14;2017-36;317.71;404.28;360.12;450.1;320
0to14;2017-37;317.63;404.17;360.03;449.98;343
0to14;2017-38;317.55;404.07;359.94;449.87;368
0to14;2017-39;317.48;403.98;359.86;449.76;354
0to14;2017-40;317.41;403.89;359.78;449.66;356
0to14;2017-41;317.34;403.8;359.7;449.57;352
0to14;2017-42;317.26;403.72;359.62;449.48;356
0to14;2017-43;317.19;403.63;359.54;449.39;361
0to14;2017-44;317.1;403.55;359.46;449.3;330
0to14;2017-45;317.01;403.46;359.37;449.22;342
0to14;2017-46;316.91;403.36;359.27;449.12;382
0to14;2017-47;316.8;403.26;359.16;449.02;395
0to14;2017-48;316.67;403.14;359.04;448.91;332
0to14;2017-49;316.53;403.01;358.9;448.79;373
0to14;2017-50;316.38;402.87;358.75;448.65;393
0to14;2017-51;316.21;402.7;358.59;448.49;364
0to14;2017-52;316.03;402.52;358.4;448.32;403
0to14;2018-01;315.83;402.32;358.21;448.11;364
0to14;2018-02;315.62;402.1;357.99;447.88;386
0to14;2018-03;315.4;401.85;357.75;447.63;334
0to14;2018-04;315.16;401.59;357.5;447.35;352
0to14;2018-05;314.91;401.3;357.23;447.04;343
0to14;2018-06;314.65;400.99;356.95;446.71;367
0to14;2018-07;314.38;400.67;356.66;446.36;362
0to14;2018-08;314.1;400.34;356.35;446;344
0to14;2018-09;313.82;399.99;356.04;445.62;378
0to14;2018-10;313.53;399.64;355.71;445.23;371
0to14;2018-11;313.24;399.28;355.39;444.84;362
0to14;2018-12;312.94;398.91;355.06;444.44;353
0to14;2018-13;312.64;398.55;354.73;444.05;394
0to14;2018-14;312.34;398.2;354.4;443.66;362
0to14;2018-15;312.05;397.85;354.08;443.28;364
0to14;2018-16;311.76;397.5;353.76;442.91;370
0to14;2018-17;311.47;397.17;353.45;442.55;331
0to14;2018-18;311.19;396.85;353.15;442.21;335
0to14;2018-19;310.91;396.53;352.86;441.88;335
0to14;2018-20;310.65;396.24;352.58;441.56;348
0to14;2018-21;310.39;395.95;352.3;441.26;341
0to14;2018-22;310.15;395.68;352.05;440.98;311
0to14;2018-23;309.91;395.42;351.8;440.71;373
0to14;2018-24;309.69;395.18;351.57;440.46;348
0to14;2018-25;309.48;394.95;351.35;440.22;343
0to14;2018-26;309.28;394.73;351.14;439.99;358
0to14;2018-27;309.09;394.53;350.94;439.79;379
0to14;2018-28;308.92;394.34;350.76;439.59;368
0to14;2018-29;308.75;394.16;350.59;439.41;363
0to14;2018-30;308.6;394;350.43;439.24;371
0to14;2018-31;308.46;393.85;350.29;439.08;352
0to14;2018-32;308.33;393.71;350.15;438.93;386
0to14;2018-33;308.22;393.58;350.03;438.8;340
0to14;2018-34;308.11;393.46;349.92;438.68;367
0to14;2018-35;308.01;393.35;349.81;438.56;310
0to14;2018-36;307.92;393.25;349.72;438.45;309
0to14;2018-37;307.83;393.16;349.63;438.36;388
0to14;2018-38;307.75;393.07;349.54;438.27;398
0to14;2018-39;307.68;392.99;349.47;438.18;328
0to14;2018-40;307.61;392.91;349.39;438.11;361
0to14;2018-41;307.53;392.84;349.32;438.03;382
0to14;2018-42;307.46;392.77;349.25;437.96;380
0to14;2018-43;307.38;392.7;349.17;437.9;319
0to14;2018-44;307.3;392.63;349.09;437.83;325
0to14;2018-45;307.21;392.55;349.01;437.76;391
0to14;2018-46;307.11;392.47;348.92;437.69;376
0to14;2018-47;307.01;392.38;348.82;437.62;380
0to14;2018-48;306.89;392.28;348.71;437.53;364
0to14;2018-49;306.75;392.17;348.59;437.43;366
0to14;2018-50;306.61;392.05;348.46;437.32;365
0to14;2018-51;306.45;391.91;348.31;437.2;380
0to14;2018-52;306.28;391.76;348.14;437.05;325
0to14;2019-01;306.09;391.58;347.96;436.88;379
0to14;2019-02;305.89;391.39;347.76;436.69;375
0to14;2019-03;305.68;391.17;347.55;436.48;378
0to14;2019-04;305.46;390.94;347.32;436.24;343
0to14;2019-05;305.23;390.68;347.08;435.98;406
0to14;2019-06;304.98;390.41;346.82;435.69;389
0to14;2019-07;304.73;390.13;346.55;435.39;398
0to14;2019-08;304.47;389.83;346.27;435.07;388
0to14;2019-09;304.2;389.51;345.98;434.74;377
0to14;2019-10;303.92;389.19;345.68;434.39;364
0to14;2019-11;303.64;388.87;345.38;434.05;360
0to14;2019-12;303.36;388.54;345.08;433.7;337
0to14;2019-13;303.08;388.22;344.77;433.35;339
0to14;2019-14;302.8;387.89;344.47;433;372
0to14;2019-15;302.52;387.57;344.17;432.67;387
0to14;2019-16;302.24;387.26;343.87;432.34;338
0to14;2019-17;301.96;386.96;343.58;432.02;351
0to14;2019-18;301.69;386.66;343.3;431.71;350
0to14;2019-19;301.43;386.38;343.03;431.42;314
0to14;2019-20;301.18;386.11;342.77;431.14;323
0to14;2019-21;300.93;385.85;342.51;430.87;359
0to14;2019-22;300.7;385.6;342.27;430.62;328
0to14;2019-23;300.47;385.37;342.04;430.38;364
0to14;2019-24;300.26;385.14;341.82;430.16;337
0to14;2019-25;300.05;384.94;341.61;429.95;350
0to14;2019-26;299.86;384.74;341.42;429.75;347
0to14;2019-27;299.68;384.56;341.24;429.57;339
0to14;2019-28;299.51;384.39;341.06;429.4;369
0to14;2019-29;299.35;384.23;340.91;429.24;317
0to14;2019-30;299.2;384.08;340.76;429.1;368
0to14;2019-31;299.06;383.94;340.62;428.96;380
0to14;2019-32;298.93;383.82;340.49;428.84;326
0to14;2019-33;298.81;383.7;340.38;428.73;347
0to14;2019-34;298.71;383.6;340.27;428.63;382
0to14;2019-35;298.61;383.5;340.17;428.53;354
0to14;2019-36;298.51;383.42;340.08;428.45;325
0to14;2019-37;298.43;383.34;340;428.37;340
0to14;2019-38;298.35;383.26;339.92;428.3;377
0to14;2019-39;298.27;383.19;339.85;428.24;321
0to14;2019-40;298.2;383.13;339.78;428.18;365
0to14;2019-41;298.12;383.07;339.71;428.13;326
0to14;2019-42;298.05;383.01;339.64;428.08;323
0to14;2019-43;297.97;382.95;339.58;428.03;358
