group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2016-45;65472.9;68174.61;66819.2;69539.06;68460
Total;2016-46;66093.93;68837.45;67461.04;70223.09;70226
Total;2016-47;66691.43;69480.07;68080.99;70888.61;69228
Total;2016-48;67256.3;70092.04;68669.29;71524.47;70129
Total;2016-49;67779.99;70663.01;69216.5;72119.46;72035
Total;2016-50;68254.31;71183.19;69713.62;72662.93;73653
Total;2016-51;68671.88;71643.28;70152.34;73144.64;77200
Total;2016-52;69026.05;72035.06;70525.21;73555.54;82055
Total;2017-01;69311.15;72351.32;70825.8;73887.64;87964
Total;2017-02;69522.7;72586.23;71048.96;74134.43;90547
Total;2017-03;69657.32;72735.45;71190.84;74291.07;86858
Total;2017-04;69712.93;72796.25;71249.03;74354.51;86974
Total;2017-05;69688.78;72767.62;71222.66;74323.6;87572
Total;2017-06;69585.43;72650.27;71112.35;74199.13;82253
Total;2017-07;69404.81;72446.64;70920.29;73983.79;80392
Total;2017-08;69150.03;72160.77;70650.05;73682.11;77644
Total;2017-09;68825.45;71798.25;70306.62;73300.29;74646
Total;2017-10;68436.54;71366.01;69896.16;72846.03;71324
Total;2017-11;67989.7;70872.14;69425.93;72328.26;69036
Total;2017-12;67492.16;70325.68;68904.06;71756.94;67265
Total;2017-13;66951.86;69736.32;68339.37;71142.67;67052
Total;2017-14;66377.26;69114.3;67741.17;70496.58;65826
Total;2017-15;65777.26;68469.97;67119.12;69829.77;65418
Total;2017-16;65160.95;67813.72;66482.92;69153.29;64609
Total;2017-17;64537.54;67155.74;65842.3;68477.8;66650
Total;2017-18;63916.18;66505.79;65206.7;67813.4;66004
Total;2017-19;63306.06;65872.96;64585.26;67169.1;65459
Total;2017-20;62715.75;65265.96;63986.62;66553.72;64788
Total;2017-21;62153.61;64692.63;63418.89;65974.8;63914
Total;2017-22;61627.47;64160.05;62889.51;65439.03;62593
Total;2017-23;61144.5;63674.56;62405.26;64952.36;60511
Total;2017-24;60711.23;63241.69;61972.16;64519.78;62706
Total;2017-25;60333.38;62866.28;61595.49;64145.69;64729
Total;2017-26;60015.87;62552.41;61279.76;63833.74;61570
Total;2017-27;59762.96;62303.22;61028.69;63586.51;62748
Total;2017-28;59577.81;62121.48;60845.21;63406.54;60674
Total;2017-29;59462.82;62009.07;60731.5;63295.47;61631
Total;2017-30;59419.53;61967.2;60688.91;63254.35;60873
Total;2017-31;59448.68;61996.36;60718.07;63283.5;63084
Total;2017-32;59549.95;62096.49;60818.78;63383.02;61746
Total;2017-33;59722.39;62266.62;60990.08;63551.94;61135
Total;2017-34;59963.99;62505.26;61230.23;63789.02;61596
Total;2017-35;60271.91;62810.17;61536.68;64092.33;61148
Total;2017-36;60642.45;63178.38;61906.09;64459.28;60071
Total;2017-37;61071.07;63606.15;62334.31;64886.52;61648
Total;2017-38;61552.31;64089.03;62816.4;65370.13;63240
Total;2017-39;62080.09;64621.66;63346.63;65905.14;64470
Total;2017-40;62647.3;65198.17;63918.5;66486.28;64894
Total;2017-41;63246.5;65811.5;64524.75;67106.68;66137
Total;2017-42;63869.36;66454.14;65157.48;67759.29;65354
Total;2017-43;64507.18;67117.74;65808.14;68435.91;64818
Total;2017-44;65150.94;67793.17;66467.68;69127.36;65297
Total;2017-45;65791.36;68470.75;67126.6;69823.76;66547
Total;2017-46;66419;69140.46;67775.17;70514.78;68514
Total;2017-47;67024.6;69791.74;68403.5;71189.24;69423
Total;2017-48;67599.06;70414.06;69001.77;71835.85;69889
Total;2017-49;68133.45;70997.18;69560.4;72443.72;72711
Total;2017-50;68619.64;71530.93;70070.25;73001.63;75057
Total;2017-51;69050.01;72005.93;70522.81;73499.31;76216
Total;2017-52;69417.71;72413.67;70910.42;73927.4;79446
Total;2018-01;69716.91;72746.68;71226.43;74277.6;83383
Total;2018-02;69942.85;72998.84;71465.4;74543.1;81520
Total;2018-03;70091.97;73165.46;71623.22;74718.61;81196
Total;2018-04;70161.88;73243.51;71697.18;74800.81;79063
Total;2018-05;70151.62;73231.68;71686.13;74788.17;78405
Total;2018-06;70061.51;73130.33;71590.44;74681.1;79125
Total;2018-07;69893.22;72941.6;71411.99;74481.97;81589
Total;2018-08;69649.73;72669.29;71154.17;74195.01;83173
Total;2018-09;69335.18;72318.73;70821.72;73826.15;88444
Total;2018-10;68954.85;71896.67;70420.64;73382.87;89229
Total;2018-11;68515.03;71411.03;69958.03;72873.94;82928
Total;2018-12;68022.87;70870.76;69441.95;72309.24;78916
Total;2018-13;67486.24;70285.51;68881.13;71699.31;75934
Total;2018-14;66913.55;69665.47;68284.89;71055.24;73517
Total;2018-15;66313.66;69021.07;67662.85;70388.26;71026
Total;2018-16;65695.73;68362.78;67024.83;69709.51;68029
Total;2018-17;65068.97;67700.89;66380.58;69029.83;64754
Total;2018-18;64442.76;67045.18;65739.68;68359.22;63938
Total;2018-19;63826.09;66405.16;65111.37;67707.41;63755
