group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2018-20;65561.59;68067.2;66810.48;69331.7;64956
Total;2018-21;64965.97;67460.04;66209.09;68718.77;65539
Total;2018-22;64407.57;66894.5;65647.11;68149.69;65975
Total;2018-23;63893.94;66377.47;65131.76;67631.02;64392
Total;2018-24;63432;65914.92;64669.49;67168.25;62669
Total;2018-25;63027.78;65512.15;64265.96;66766.28;63838
Total;2018-26;62686.56;65173.5;63926;66429.01;65701
Total;2018-27;62412.66;64902.65;63653.6;66159.77;65883
Total;2018-28;62209.74;64702.35;63451.96;65960.83;63836
Total;2018-29;62080.03;64575.08;63323.46;65834.84;65428
Total;2018-30;62025.57;64521.84;63269.6;65782.24;68091
Total;2018-31;62047.05;64543.42;63291.13;65803.86;70759
Total;2018-32;62144.35;64639.71;63387.94;65899.62;68343
Total;2018-33;62316.46;64809.92;63559.11;66068.82;64070
Total;2018-34;62561.47;65052.45;63802.91;66310.04;64248
Total;2018-35;62876.54;65365.02;64116.76;66621.28;63085
Total;2018-36;63257.96;65744.56;64497.27;66999.8;64035
Total;2018-37;63701.08;66187.22;64940.19;67442.14;63859
Total;2018-38;64200.48;66688.28;65440.44;67943.95;65296
Total;2018-39;64749.77;67242.34;65992.13;68500.35;64516
Total;2018-40;65341.85;67843.08;66588.55;69105.39;66693
Total;2018-41;65968.87;68483.42;67222.23;69752.41;68027
Total;2018-42;66622.38;69155.36;67884.93;70433.61;65989
Total;2018-43;67293.3;69850.26;68567.81;71140.62;66558
Total;2018-44;67972.21;70558.66;69261.41;71863.91;68962
Total;2018-45;68649.4;71270.55;69955.88;72593.36;70025
Total;2018-46;69314.93;71975.42;70641;73318.14;68625
Total;2018-47;69958.97;72662.4;71306.42;74026.88;70018
Total;2018-48;70571.89;73320.44;71941.79;74707.79;71648
Total;2018-49;71144.01;73938.96;72537;75349.84;72521
Total;2018-50;71666.8;74507.13;73082.36;75941.03;72459
Total;2018-51;72131.84;75015.2;73568.81;76470.95;75310
Total;2018-52;72531.72;75454.14;73988.12;76929.72;74883
Total;2019-01;72860.14;75815.92;74333.14;77308.44;78654
Total;2019-02;73111.68;76094.01;74597.88;77600.01;81677
Total;2019-03;73282.37;76283.29;74777.81;77798.73;81672
Total;2019-04;73369.46;76380.3;74869.83;77900.78;82241
Total;2019-05;73371.63;76383.35;74872.44;77904.29;83017
Total;2019-06;73289.03;76292.56;74785.77;77809.34;83150
Total;2019-07;73123.22;76109.87;74611.56;77618.07;81515
Total;2019-08;72877.09;75838.93;74353.1;77334.53;80240
Total;2019-09;72555.03;75484.99;74015.17;76964.4;79765
Total;2019-10;72162.36;75054.95;73603.92;76515.39;77495
Total;2019-11;71705.74;74556.86;73126.67;75996.25;75670
Total;2019-12;71192.74;73999.78;72591.73;75416.81;72654
Total;2019-13;70631.56;73393.81;72008.27;74788.12;71389
Total;2019-14;70031.2;72749.46;71386.02;74121.48;72288
Total;2019-15;69401.03;72077.64;70735.11;73428.55;70146
Total;2019-16;68750.79;71389.25;70065.88;72720.85;71085
Total;2019-17;68090.26;70695.17;69388.64;72009.79;70216
Total;2019-18;67429.3;70005.83;68713.54;71306.12;68163
Total;2019-19;66777.58;69331.25;68050.42;70620.01;68153
Total;2019-20;66144.45;68680.72;67408.6;69960.73;67924
Total;2019-21;65538.92;68062.85;66796.91;69336.69;67307
Total;2019-22;64969.28;67485.58;66223.44;68755.63;66435
Total;2019-23;64443.4;66955.89;65695.64;68224.1;66651
Total;2019-24;63968.3;66479.98;65220.11;67747.87;65685
Total;2019-25;63550.25;66063.31;64802.72;67331.97;65695
Total;2019-26;63194.65;65710.45;64448.46;66980.57;68049
Total;2019-27;62906.06;65425.26;64161.54;66697.18;66470
Total;2019-28;62688.22;65210.7;63945.32;66484.33;64463
Total;2019-29;62543.99;65068.97;63802.32;66343.9;64635
Total;2019-30;62475.05;65001.78;63734.24;66277.62;70892
Total;2019-31;62482.45;65009.84;63741.97;66286.01;64769
Total;2019-32;62566.23;65093.21;63825.55;66369.15;64408
Total;2019-33;62725.58;65251.18;63984.22;66526.38;63070
Total;2019-34;62958.54;65482.49;64216.38;66756.81;64245
Total;2019-35;63262.92;65784.5;64519.6;67057.55;66735
Total;2019-36;63634.66;66154.7;64890.61;67426.91;63263
Total;2019-37;64069.44;66589.21;65325.28;67861.2;64494
Total;2019-38;64561.9;67083.5;65818.67;68356.32;65480
Total;2019-39;65105.82;67632.19;66365;68907.34;67158
Total;2019-40;65693.96;68229.35;66957.66;69509;66942
Total;2019-41;66319.26;68867.23;67589.24;70153.18;69008
Total;2019-42;66972.54;69538.77;68251.63;70833.9;69046
Total;2019-43;67645.11;70235.02;68936.01;71542.08;69427
Total;2019-44;68327.51;70946.67;69632.98;72268.51;69975
Total;2019-45;69009.93;71663.78;70332.68;73003.17;70990
Total;2019-46;69682.58;72375.69;71024.88;73734.95;72607
Total;2019-47;70335.43;73071.62;71699.17;74452.71;73526
Total;2019-48;70958.65;73740.53;72345.13;75144.79;73510
Total;2019-49;71542.69;74371.46;72952.5;75799.49;74773
Total;2019-50;72078.59;74953.73;73511.47;76405.29;76045
Total;2019-51;72557.86;75477.25;74012.76;76951.28;77578
Total;2019-52;72972.93;75932.74;74447.93;77427.3;75524
Total;2020-01;73317;76312.11;74809.56;77824.59;78378
Total;2020-02;73584.83;76608.13;75091.41;78134.94;80791
Total;2020-03;73771.73;76815.79;75288.63;78353.14;79195
Total;2020-04;73875.08;76930.88;75397.82;78474.2;77997
Total;2020-05;73893;76951.7;75417.18;78496.49;80001
Total;2020-06;73825.39;76877.99;75346.54;78419.68;77147
Total;2020-07;73673.77;76711.12;75187.33;78245.06;77583
Total;2020-08;73440.56;76454.75;74942.6;77976.93;74743
Total;2020-09;73130.1;76113.65;74616.9;77620.27;75929
Total;2020-10;72747.45;75694.63;74216.16;77182.78;76372
Total;2020-11;72299.16;75205.48;73747.55;76672.9;78283
Total;2020-12;71792.57;74655.26;73219.25;76100.54;85171
Total;2020-13;71235.97;74053.88;72640.37;75476.45;97926
Total;2020-14;70638.2;73411.87;72020.58;74812;109739
Total;2020-15;70008.7;72740.13;71370.06;74118.86;107602
Total;2020-16;69357.15;72049.7;70699.15;73408.74;96512
Total;2020-17;68693.5;71351.46;70018.28;72693;86459
Total;2020-18;68027.53;70656.15;69337.69;71982.87;78302
Total;2020-19;67369.15;69973.78;68667.35;71288.4;74520
Total;2020-20;66727.77;69313.95;68016.77;70619.28;69976
Total;2020-21;66112.58;68685.41;67394.9;69984.05;69588
Total;2020-22;65531.95;68096.36;66810.05;69390.82;66799
Total;2020-23;64994.01;67553.89;66269.83;68846.14;66328
Total;2020-24;64505.95;67064.48;65781.07;68356.14;64993
Total;2020-25;64074.16;66633.79;65349.8;67926.08;64508
Total;2020-26;63704.29;66266.54;64981.21;67560.23;67241
Total;2020-27;63401.12;65966.72;64679.68;67262.18;64881
Total;2020-28;63168.54;65737.49;64448.75;67034.71;64240
Total;2020-29;63009.42;65581.41;64291.13;66880.22;65282
Total;2020-30;62925.86;65500.08;64208.67;66800.03;65951
Total;2020-31;62919;65494.42;64202.41;66794.99;68549
Total;2020-32;62989.07;65564.66;64272.56;66865.3;67930
Total;2020-33;63135.36;65710.22;64418.5;67010.46;73173
Total;2020-34;63356.3;65929.82;64638.79;67229.34;67231
Total;2020-35;63649.33;66221.39;64931.11;67520.1;65617
Total;2020-36;64011.02;66582.1;65292.34;67880.25;66247
Total;2020-37;64437.06;67008.32;65718.5;68306.47;68164
Total;2020-38;64922.18;67495.65;66204.75;68794.83;69815
Total;2020-39;65460.31;68038.82;66745.41;69340.47;68572
Total;2020-40;66044.52;68631.75;67333.99;69937.74;70897
Total;2020-41;66667.14;69267.55;67963.2;70580.14;71436
Total;2020-42;67319.82;69938.44;68624.97;71260.2;73114
Total;2020-43;67993.63;70635.89;69310.56;71969.56;78953
Total;2020-44;68679.12;71350.59;70010.61;72699.01;82573
Total;2020-45;69366.56;72072.59;70715.26;73438.5;86001
Total;2020-46;70045.97;72791.38;71414.28;74177.23;88176
Total;2020-47;70707.33;73496.07;72097.21;74903.88;88028
Total;2020-48;71340.7;74175.57;72753.53;75606.76;88884
Total;2020-49;71936.47;74818.8;73372.92;76274.05;90885
Total;2020-50;72485.37;75415.01;73945.35;76894.28;92685
Total;2020-51;72978.84;75953.88;74461.41;77456.19;92714
Total;2020-52;73409.01;76425.9;74912.39;77949.47;93149
Total;2020-53;73769;76822.62;75290.65;78364.84;95009
Total;2021-01;74053.02;77136.83;75589.68;78694.39;97740
Total;2021-02;74256.44;77362.76;75804.29;78931.76;100939
Total;2021-03;74376.04;77496.31;75930.83;79072.4;102832
Total;2021-04;74409.93;77535.11;75967.16;79113.69;98008
Total;2021-05;74357.72;77478.59;75912.81;79054.99;91316
Total;2021-06;74220.42;77328.02;75768.91;78897.68;86416
Total;2021-07;74000.55;77086.5;75538.27;78645.16;83681
Total;2021-08;73701.94;76758.74;75225.16;78302.6;77992
Total;2021-09;73329.62;76351.18;74835.32;77877.15;75397
Total;2021-10;72889.96;75871.47;74375.73;77377.09;76166
Total;2021-11;72390.21;75328.53;73854.5;76812.23;75565
Total;2021-12;71838.54;74732.12;73280.57;76193.14;75410
Total;2021-13;71243.75;74092.87;72663.65;75531.34;76060
Total;2021-14;70615.27;73421.58;72013.87;74838.35;75546
Total;2021-15;69962.8;72729.39;71341.63;74126.05;75030.41
Total;2021-16;69296.3;72027.33;70657.42;73405.99;74855.92
Total;2021-17;68625.75;71326.15;69971.61;72689.32;73709.78
Total;2021-18;67961.02;70636.17;69294.29;71986.59;73397.14
Total;2021-19;67311.72;69967.08;68635.12;71307.55;70307.27
Total;2021-20;66687.06;69327.94;68003.23;70661.14;68550.41
Total;2021-21;66095.79;68726.98;67407.11;70055.36;67361.67
Total;2021-22;65546;68171.71;66854.56;69497.4;68245.44
Total;2021-23;65045.11;67668.7;66352.58;68993.41;66905.62
Total;2021-24;64599.75;67223.79;65907.42;68548.82;68736.32
Total;2021-25;64215.71;66841.94;65524.44;68168.16;66596.61
Total;2021-26;63897.95;66527.35;65208.23;67855.25;67472.5
Total;2021-27;63650.52;66283.36;64962.49;67613.07;67294.07
Total;2021-28;63476.55;66112.6;64790.11;67443.97;68239.96
Total;2021-29;63378.26;66016.89;64693.09;67349.59;70665.51
Total;2021-30;63357;65997.32;64672.67;67330.89;69511.72
Total;2021-31;63413.15;66054.22;64729.2;67388.16;70543.71
Total;2021-32;63546.17;66187.18;64862.19;67521.06;71831.62
Total;2021-33;63754.62;66395.01;65070.35;67728.55;71057.64
Total;2021-34;64036.14;66675.81;65351.53;68008.91;69805.02
Total;2021-35;64387.44;67026.83;65702.72;68359.72;70669.28
Total;2021-36;64804.34;67444.6;66120.08;68777.85;73991.57
Total;2021-37;65281.71;67924.78;66598.87;69259.37;70909.07
Total;2021-38;65813.62;68462.26;67133.58;69799.58;70439.61
Total;2021-39;66393.19;69051.08;67717.79;70393.01;71634.16
Total;2021-40;67013.02;69684.3;68344.31;71032.93;72104.08
Total;2021-41;67664.67;70354.39;69005.16;71712.29;74323.78
Total;2021-42;68339.29;71052.81;69691.65;72422.72;76251.3
Total;2021-43;69027.52;71770.36;70394.49;73155.08;78536.91
Total;2021-44;69719.52;72497.15;71103.81;73899.47;78820.18
Total;2021-45;70405.45;73222.53;71809.39;74644.83;81823.04
Total;2021-46;71075.05;73935.77;72500.71;75380.17;83321.93
Total;2021-47;71718.39;74625.67;73167.22;76093.69;86272.45
Total;2021-48;72325.65;75281.07;73798.43;76773.51;90422.71
Total;2021-49;72887.47;75891.04;74384.2;77407.92;90108.04
Total;2021-50;73395.04;76445.12;74914.91;77985.62;87645.38
Total;2021-51;73840.31;76933.61;75381.67;78496.05;88109.21
Total;2021-52;74216.15;77347.75;75776.56;78929.65;88162.87
Total;2022-01;74516.51;77680.07;76092.81;79278.21;85683.44
Total;2022-02;74736.51;77924.48;76324.95;79535.04;84808
Total;2022-03;74872.63;78076.55;76469;79695.21;84708.16
Total;2022-04;74922.69;78133.55;76522.5;79755.74;86627.68
Total;2022-05;74886.04;78094.58;76484.7;79715.59;87519.99
Total;2022-06;74763.48;77960.55;76356.44;79575.74;84394.68
Total;2022-07;74557.14;77734.32;76140.2;79339.4;83790.02
Total;2022-08;74270.74;77420.3;75840.07;79011.35;80261.59
Total;2022-09;73909.15;77024.59;75461.51;78598.31;79827.3
Total;2022-10;73478.53;76554.74;75011.38;78108.54;80163.04
Total;2022-11;72985.97;76019.48;74497.57;77551.6;79889.95
Total;2022-12;72439.59;75428.54;73929.03;76938.06;77002.18
Total;2022-13;71848.18;74792.38;73315.36;76279.19;68454.96
0to14;2017-15;342.28;429.69;385.15;475.82;422
0to14;2017-16;341.86;429.07;384.64;475.09;396
0to14;2017-17;341.44;428.47;384.14;474.4;415
0to14;2017-18;341.02;427.9;383.64;473.75;425
0to14;2017-19;340.61;427.36;383.16;473.13;351
0to14;2017-20;340.2;426.84;382.7;472.56;385
0to14;2017-21;339.8;426.36;382.26;472.04;363
0to14;2017-22;339.42;425.91;381.85;471.55;379
0to14;2017-23;339.06;425.5;381.46;471.11;417
0to14;2017-24;338.72;425.12;381.1;470.71;437
0to14;2017-25;338.41;424.77;380.77;470.34;360
0to14;2017-26;338.13;424.45;380.48;470.01;408
0to14;2017-27;337.88;424.17;380.21;469.71;415
0to14;2017-28;337.66;423.93;379.98;469.45;374
0to14;2017-29;337.47;423.71;379.77;469.22;402
0to14;2017-30;337.32;423.53;379.61;469.03;379
0to14;2017-31;337.19;423.38;379.47;468.87;375
0to14;2017-32;337.1;423.27;379.37;468.74;373
0to14;2017-33;337.04;423.18;379.3;468.64;398
0to14;2017-34;337.02;423.13;379.26;468.57;348
0to14;2017-35;337.02;423.11;379.25;468.54;392
0to14;2017-36;337.04;423.12;379.27;468.55;345
0to14;2017-37;337.09;423.16;379.31;468.58;368
0to14;2017-38;337.17;423.24;379.39;468.66;386
0to14;2017-39;337.26;423.34;379.48;468.77;368
0to14;2017-40;337.36;423.47;379.6;468.91;391
0to14;2017-41;337.48;423.63;379.74;469.1;381
0to14;2017-42;337.6;423.82;379.89;469.31;381
0to14;2017-43;337.72;424.02;380.05;469.56;396
0to14;2017-44;337.84;424.25;380.22;469.85;344
0to14;2017-45;337.95;424.48;380.4;470.15;359
0to14;2017-46;338.05;424.73;380.56;470.48;403
0to14;2017-47;338.12;424.98;380.72;470.82;430
0to14;2017-48;338.18;425.22;380.87;471.16;355
0to14;2017-49;338.22;425.44;381;471.49;396
0to14;2017-50;338.22;425.64;381.1;471.8;411
0to14;2017-51;338.2;425.81;381.17;472.07;387
0to14;2017-52;338.16;425.93;381.2;472.28;442
0to14;2018-01;338.08;425.99;381.19;472.42;388
0to14;2018-02;337.98;426;381.14;472.49;413
0to14;2018-03;337.85;425.93;381.04;472.46;362
0to14;2018-04;337.7;425.8;380.9;472.34;370
0to14;2018-05;337.52;425.59;380.7;472.12;372
0to14;2018-06;337.32;425.31;380.46;471.79;391
0to14;2018-07;337.09;424.96;380.18;471.38;385
0to14;2018-08;336.84;424.55;379.85;470.88;366
0to14;2018-09;336.57;424.09;379.49;470.31;403
0to14;2018-10;336.28;423.58;379.09;469.69;396
0to14;2018-11;335.96;423.04;378.66;469.02;389
0to14;2018-12;335.62;422.47;378.22;468.33;373
0to14;2018-13;335.27;421.89;377.75;467.63;424
0to14;2018-14;334.89;421.31;377.28;466.93;380
0to14;2018-15;334.51;420.73;376.8;466.25;379
0to14;2018-16;334.11;420.16;376.32;465.58;404
0to14;2018-17;333.71;419.61;375.84;464.95;353
0to14;2018-18;333.31;419.07;375.37;464.35;347
0to14;2018-19;332.91;418.57;374.92;463.79;360
0to14;2018-20;332.51;418.09;374.49;463.26;374
0to14;2018-21;332.13;417.64;374.07;462.78;367
0to14;2018-22;331.77;417.22;373.68;462.33;341
0to14;2018-23;331.42;416.83;373.31;461.92;404
0to14;2018-24;331.09;416.47;372.97;461.55;371
0to14;2018-25;330.79;416.14;372.65;461.21;366
0to14;2018-26;330.52;415.85;372.37;460.9;374
0to14;2018-27;330.27;415.59;372.11;460.63;409
0to14;2018-28;330.05;415.35;371.89;460.39;392
0to14;2018-29;329.86;415.15;371.69;460.18;387
0to14;2018-30;329.71;414.98;371.53;460.01;409
0to14;2018-31;329.58;414.84;371.4;459.86;376
0to14;2018-32;329.49;414.73;371.29;459.75;405
0to14;2018-33;329.42;414.65;371.22;459.66;355
0to14;2018-34;329.38;414.61;371.18;459.61;389
0to14;2018-35;329.37;414.59;371.16;459.58;319
0to14;2018-36;329.39;414.6;371.18;459.59;332
0to14;2018-37;329.43;414.64;371.22;459.64;406
0to14;2018-38;329.48;414.71;371.28;459.71;423
0to14;2018-39;329.56;414.81;371.37;459.82;344
0to14;2018-40;329.65;414.93;371.48;459.97;376
0to14;2018-41;329.75;415.08;371.6;460.14;407
0to14;2018-42;329.86;415.26;371.74;460.35;401
0to14;2018-43;329.97;415.45;371.89;460.59;343
0to14;2018-44;330.08;415.67;372.05;460.87;352
0to14;2018-45;330.18;415.89;372.21;461.16;412
0to14;2018-46;330.27;416.13;372.37;461.48;396
0to14;2018-47;330.34;416.37;372.53;461.81;400
0to14;2018-48;330.39;416.6;372.67;462.14;384
0to14;2018-49;330.43;416.82;372.79;462.46;392
0to14;2018-50;330.44;417.02;372.89;462.76;392
0to14;2018-51;330.42;417.19;372.96;463.03;403
0to14;2018-52;330.37;417.31;373;463.26;347
0to14;2019-01;330.3;417.39;373;463.42;412
0to14;2019-02;330.21;417.42;372.96;463.51;412
0to14;2019-03;330.08;417.38;372.88;463.52;412
0to14;2019-04;329.94;417.27;372.75;463.44;372
0to14;2019-05;329.76;417.1;372.58;463.27;429
0to14;2019-06;329.57;416.86;372.36;463;411
0to14;2019-07;329.35;416.56;372.1;462.65;425
0to14;2019-08;329.11;416.2;371.8;462.22;416
0to14;2019-09;328.85;415.78;371.47;461.73;401
0to14;2019-10;328.57;415.32;371.1;461.18;385
0to14;2019-11;328.27;414.83;370.71;460.58;375
0to14;2019-12;327.94;414.32;370.29;459.96;359
0to14;2019-13;327.6;413.78;369.86;459.33;356
0to14;2019-14;327.25;413.25;369.41;458.69;381
0to14;2019-15;326.88;412.71;368.96;458.06;412
0to14;2019-16;326.5;412.18;368.51;457.45;348
0to14;2019-17;326.12;411.67;368.07;456.87;373
0to14;2019-18;325.74;411.17;367.63;456.31;383
0to14;2019-19;325.36;410.7;367.2;455.79;324
0to14;2019-20;324.98;410.25;366.79;455.3;355
0to14;2019-21;324.61;409.83;366.39;454.85;376
0to14;2019-22;324.26;409.43;366.02;454.43;341
0to14;2019-23;323.93;409.06;365.67;454.05;385
0to14;2019-24;323.62;408.73;365.34;453.7;355
0to14;2019-25;323.32;408.42;365.04;453.39;367
0to14;2019-26;323.06;408.14;364.77;453.1;370
0to14;2019-27;322.82;407.89;364.53;452.85;364
0to14;2019-28;322.6;407.67;364.31;452.63;388
0to14;2019-29;322.42;407.48;364.12;452.44;340
0to14;2019-30;322.26;407.32;363.96;452.28;402
0to14;2019-31;322.14;407.18;363.83;452.13;417
0to14;2019-32;322.03;407.09;363.73;452.04;346
0to14;2019-33;321.96;407.02;363.66;451.97;369
0to14;2019-34;321.91;406.97;363.61;451.93;400
0to14;2019-35;321.89;406.96;363.6;451.92;371
0to14;2019-36;321.9;406.97;363.6;451.93;341
0to14;2019-37;321.92;407.01;363.64;451.98;358
0to14;2019-38;321.97;407.08;363.69;452.06;396
0to14;2019-39;322.03;407.17;363.77;452.17;340
0to14;2019-40;322.11;407.29;363.87;452.32;379
0to14;2019-41;322.19;407.44;363.98;452.49;349
0to14;2019-42;322.29;407.6;364.11;452.7;356
0to14;2019-43;322.38;407.79;364.25;452.94;381
0to14;2019-44;322.48;408;364.4;453.2;323
0to14;2019-45;322.57;408.21;364.55;453.49;362
0to14;2019-46;322.65;408.44;364.7;453.8;385
0to14;2019-47;322.72;408.67;364.85;454.12;379
0to14;2019-48;322.76;408.9;364.98;454.44;401
0to14;2019-49;322.79;409.11;365.1;454.76;410
0to14;2019-50;322.8;409.31;365.2;455.07;428
0to14;2019-51;322.78;409.48;365.27;455.34;396
0to14;2019-52;322.74;409.62;365.32;455.57;404
0to14;2020-01;322.67;409.71;365.33;455.75;365
0to14;2020-02;322.58;409.75;365.3;455.87;379
0to14;2020-03;322.46;409.73;365.23;455.91;378
0to14;2020-04;322.32;409.65;365.12;455.87;403
0to14;2020-05;322.16;409.51;364.96;455.74;398
0to14;2020-06;321.97;409.31;364.77;455.53;381
0to14;2020-07;321.76;409.05;364.53;455.24;365
0to14;2020-08;321.53;408.73;364.26;454.87;384
0to14;2020-09;321.28;408.36;363.95;454.44;358
0to14;2020-10;321.01;407.95;363.61;453.95;370
0to14;2020-11;320.73;407.5;363.25;453.42;382
0to14;2020-12;320.42;407.03;362.86;452.86;383
0to14;2020-13;320.1;406.54;362.46;452.28;393
0to14;2020-14;319.76;406.04;362.04;451.7;380
0to14;2020-15;319.41;405.55;361.62;451.12;366
0to14;2020-16;319.05;405.06;361.2;450.56;344
0to14;2020-17;318.69;404.58;360.78;450.01;348
0to14;2020-18;318.32;404.11;360.37;449.5;342
0to14;2020-19;317.96;403.67;359.96;449.01;351
0to14;2020-20;317.61;403.24;359.57;448.55;353
0to14;2020-21;317.26;402.84;359.2;448.12;352
0to14;2020-22;316.92;402.47;358.85;447.73;346
0to14;2020-23;316.6;402.12;358.51;447.37;357
0to14;2020-24;316.3;401.81;358.2;447.05;333
0to14;2020-25;316.02;401.51;357.92;446.75;346
0to14;2020-26;315.77;401.25;357.66;446.48;365
0to14;2020-27;315.53;401.02;357.42;446.25;333
0to14;2020-28;315.33;400.81;357.21;446.04;327
0to14;2020-29;315.14;400.63;357.03;445.87;339
0to14;2020-30;314.99;400.48;356.88;445.72;398
0to14;2020-31;314.86;400.35;356.75;445.6;355
0to14;2020-32;314.75;400.26;356.65;445.51;325
0to14;2020-33;314.67;400.19;356.58;445.45;369
0to14;2020-34;314.62;400.15;356.53;445.42;325
0to14;2020-35;314.59;400.14;356.51;445.41;332
0to14;2020-36;314.58;400.15;356.51;445.44;330
0to14;2020-37;314.6;400.19;356.54;445.49;357
0to14;2020-38;314.63;400.26;356.59;445.58;366
0to14;2020-39;314.68;400.35;356.66;445.69;366
0to14;2020-40;314.74;400.47;356.74;445.84;322
0to14;2020-41;314.81;400.61;356.85;446.02;349
0to14;2020-42;314.89;400.77;356.97;446.22;301
0to14;2020-43;314.98;400.95;357.1;446.46;344
0to14;2020-44;315.06;401.15;357.24;446.72;303
0to14;2020-45;315.14;401.36;357.38;447.01;358
0to14;2020-46;315.21;401.58;357.52;447.31;336
0to14;2020-47;315.27;401.8;357.66;447.62;326
0to14;2020-48;315.31;402.02;357.79;447.95;327
0to14;2020-49;315.33;402.24;357.9;448.26;354
0to14;2020-50;315.34;402.43;358;448.57;340
0to14;2020-51;315.32;402.61;358.08;448.85;350
0to14;2020-52;315.28;402.75;358.12;449.09;327
0to14;2020-53;315.21;402.85;358.14;449.28;347
0to14;2021-01;315.12;402.91;358.12;449.42;315
0to14;2021-02;315.01;402.91;358.06;449.49;322
0to14;2021-03;314.88;402.86;357.96;449.48;325
0to14;2021-04;314.72;402.75;357.83;449.4;357
0to14;2021-05;314.54;402.57;357.65;449.23;329
0to14;2021-06;314.34;402.35;357.44;448.99;346
0to14;2021-07;314.12;402.07;357.19;448.68;332
0to14;2021-08;313.88;401.74;356.91;448.3;309
0to14;2021-09;313.63;401.37;356.6;447.87;382
0to14;2021-10;313.35;400.96;356.26;447.39;312
0to14;2021-11;313.06;400.53;355.9;446.88;360
0to14;2021-12;312.76;400.08;355.52;446.36;342
0to14;2021-13;312.44;399.62;355.14;445.82;356.29
0to14;2021-14;312.12;399.14;354.74;445.26;305
0to14;2021-15;311.77;398.7;354.35;444.77;347.1
0to14;2021-16;311.43;398.25;353.95;444.26;327.57
0to14;2021-17;311.08;397.82;353.56;443.77;366.73
0to14;2021-18;310.74;397.4;353.18;443.32;350.58
0to14;2021-19;310.4;397;352.81;442.88;364.25
0to14;2021-20;310.08;396.62;352.46;442.48;352.86
