group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2017-15;68182.03;70808.77;69491.26;72134.5;67857
Total;2017-16;67535.42;70125.42;68826.36;71432.55;67025
Total;2017-17;66882.3;69440.26;68157.28;70731.19;69232
Total;2017-18;66232.32;68763.48;67493.94;70040.88;68277
Total;2017-19;65594.89;68104.76;66845.9;69371.42;67817
Total;2017-20;64979.2;67473.01;66222.19;68731.61;67024
Total;2017-21;64393.81;66876.49;65631.24;68129.52;66202
Total;2017-22;63846.83;66322.69;65080.84;67572.35;64806
Total;2017-23;63345.69;65818.21;64578.01;67066.26;62829
Total;2017-24;62897.04;65368.92;64129.01;66616.72;64967
Total;2017-25;62506.69;64979.98;63739.33;66228.57;67030
Total;2017-26;62179.92;64655.33;63413.6;65905.07;63867
Total;2017-27;61920.7;64398.69;63155.65;65649.78;65080
Total;2017-28;61732.41;64212.73;62968.5;65465.05;62863
Total;2017-29;61617.43;64099.4;62854.33;65352.58;63951
Total;2017-30;61577.3;64059.95;62814.54;65313.49;63172
Total;2017-31;61612.68;64094.85;62849.68;65348.13;65286
Total;2017-32;61723.26;64203.89;62959.5;65456.37;64041
Total;2017-33;61907.86;64386.15;63142.95;65637.41;63371
Total;2017-34;62164.44;64639.9;63398.14;65889.66;63858
Total;2017-35;62490;64962.76;63722.38;66211.08;63410
Total;2017-36;62880.7;65351.47;64112.12;66598.71;62264
Total;2017-37;63331.79;65802.09;64563;67049;63845
Total;2017-38;63837.67;66309.81;65069.83;67557.57;65424
Total;2017-39;64391.89;66869.09;65626.59;68119.34;66749
Total;2017-40;64987.27;67473.47;66226.48;68728.19;67181
Total;2017-41;65615.84;68115.82;66861.93;69377.44;68519
Total;2017-42;66269.1;68788.03;67524.65;70059.19;67649
Total;2017-43;66938;69481.35;68205.72;70764.83;67290
Total;2017-44;67613.07;70186.32;68895.69;71484.9;67651
Total;2017-45;68284.61;70892.85;69584.65;72209.14;68793
Total;2017-46;68942.8;71590.39;70262.44;72926.6;70971
Total;2017-47;69577.79;72268.24;70918.76;73626.17;71860
Total;2017-48;70180.06;72915.35;71543.35;74296.01;72359
Total;2017-49;70740.32;73521.07;72126.23;74924.78;75311
Total;2017-50;71249.84;74075.03;72657.85;75501.29;77702
Total;2017-51;71700.54;74567.57;73129.37;76015.07;79008
Total;2017-52;72085.37;74989.79;73532.8;76456.28;82197
Total;2018-01;72398.01;75334.14;73861.21;76816.73;86347
Total;2018-02;72633.51;75594.23;74108.94;77089.31;84338
Total;2018-03;72787.97;75765.37;74271.7;77268.93;84196
Total;2018-04;72859.08;75844.38;74346.73;77351.94;81828
Total;2018-05;72845.71;75829.92;74332.82;77336.93;81237
Total;2018-06;72748.28;75722.43;74230.39;77224.34;82007
Total;2018-07;72568.62;75524.18;74041.49;77016.64;84519
Total;2018-08;72309.88;75239.09;73769.64;76718.17;86052
Total;2018-09;71976.52;74872.72;73419.86;76335.04;91238
Total;2018-10;71574.22;74432.07;72998.48;75874.93;92113
Total;2018-11;71109.69;73925.4;72512.99;75346.87;85663
Total;2018-12;70590.55;73361.97;71971.81;74760.97;81657
Total;2018-13;70025.18;72751.82;71384.16;74128.1;78513
Total;2018-14;69422.58;72105.53;70759.82;73459.66;76045
Total;2018-15;68792.13;71433.94;70108.89;72767.23;73537
Total;2018-16;68143.53;70747.93;69441.66;72062.29;70459
Total;2018-17;67486.53;70058.2;68768.36;71356.01;67163
Total;2018-18;66830.88;69375.07;68099.02;70659;66320
Total;2018-19;66186.17;68708.35;67443.33;69981.18;66077
