country;group;week;zscore
Austria;Total;2016-45;-0.01
Austria;Total;2016-46;1.07
Austria;Total;2016-47;-0.21
Austria;Total;2016-48;0.55
Austria;Total;2016-49;0.82
Austria;Total;2016-50;1.28
Austria;Total;2016-51;3.95
Austria;Total;2016-52;8.53
Austria;Total;2017-01;10.89
Austria;Total;2017-02;11.27
Austria;Total;2017-03;7.6
Austria;Total;2017-04;5.92
Austria;Total;2017-05;7.4
Austria;Total;2017-06;4.85
Austria;Total;2017-07;3.52
Austria;Total;2017-08;4.27
Austria;Total;2017-09;2.77
Austria;Total;2017-10;1.86
Austria;Total;2017-11;0.78
Austria;Total;2017-12;0.67
Austria;Total;2017-13;0.08
Austria;Total;2017-14;0.86
Austria;Total;2017-15;1.31
Austria;Total;2017-16;0.23
Austria;Total;2017-17;-0.21
Austria;Total;2017-18;1.45
Austria;Total;2017-19;0.28
Austria;Total;2017-20;1.59
Austria;Total;2017-21;-1.55
Austria;Total;2017-22;0.87
Austria;Total;2017-23;-1.75
Austria;Total;2017-24;0.66
Austria;Total;2017-25;1.62
Austria;Total;2017-26;0.72
Austria;Total;2017-27;0.69
Austria;Total;2017-28;-0.66
Austria;Total;2017-29;1.25
Austria;Total;2017-30;0.08
Austria;Total;2017-31;3.99
Austria;Total;2017-32;-1.15
Austria;Total;2017-33;-0.71
Austria;Total;2017-34;1.15
Austria;Total;2017-35;-1.35
Austria;Total;2017-36;-1.68
Austria;Total;2017-37;0.18
Austria;Total;2017-38;-0.46
Austria;Total;2017-39;0.54
Austria;Total;2017-40;0.33
Austria;Total;2017-41;0.76
Austria;Total;2017-42;-0.63
Austria;Total;2017-43;-0.11
Austria;Total;2017-44;0.7
Austria;Total;2017-45;-0.28
Austria;Total;2017-46;-0.28
Austria;Total;2017-47;0.55
Austria;Total;2017-48;-0.23
Austria;Total;2017-49;1.21
Austria;Total;2017-50;-0.02
Austria;Total;2017-51;1.18
Austria;Total;2017-52;1.46
Austria;Total;2018-01;2.89
Austria;Total;2018-02;3.96
Austria;Total;2018-03;3.23
Austria;Total;2018-04;2.02
Austria;Total;2018-05;4.36
Austria;Total;2018-06;0.26
Austria;Total;2018-07;3.84
Austria;Total;2018-08;5.88
Austria;Total;2018-09;7.15
Austria;Total;2018-10;6.7
Austria;Total;2018-11;6.28
Austria;Total;2018-12;2.12
Austria;Total;2018-13;3.9
Austria;Total;2018-14;1.73
Austria;Total;2018-15;1.04
Austria;Total;2018-16;1.24
Austria;Total;2018-17;-1.58
Austria;Total;2018-18;-0.67
Austria;Total;2018-19;-1.42
Austria;Total;2018-20;-2.17
Austria;Total;2018-21;-1.39
Austria;Total;2018-22;-0.34
Austria;Total;2018-23;-0.07
Austria;Total;2018-24;-0.67
Austria;Total;2018-25;-0.27
Austria;Total;2018-26;0.1
Austria;Total;2018-27;0.67
Austria;Total;2018-28;-0.33
Austria;Total;2018-29;1.62
Austria;Total;2018-30;0.74
Austria;Total;2018-31;3.39
Austria;Total;2018-32;2.09
Austria;Total;2018-33;0.24
