group;week;zscore
Total;2017-16;-2.86
Total;2017-17;1.6
Total;2017-18;1.19
Total;2017-19;1.5
Total;2017-20;1.27
Total;2017-21;0.9
Total;2017-22;-0.47
Total;2017-23;-2.84
Total;2017-24;1.36
Total;2017-25;5.29
Total;2017-26;0.76
Total;2017-27;3.12
Total;2017-28;-0.13
Total;2017-29;1.79
Total;2017-30;0.61
Total;2017-31;3.91
Total;2017-32;1.74
Total;2017-33;0.4
Total;2017-34;0.77
Total;2017-35;-0.48
Total;2017-36;-2.94
Total;2017-37;-1.17
Total;2017-38;0.62
Total;2017-39;1.85
Total;2017-40;1.55
Total;2017-41;2.59
Total;2017-42;0.18
Total;2017-43;-1.47
Total;2017-44;-1.99
Total;2017-45;-1.25
Total;2017-46;0.99
Total;2017-47;1.33
Total;2017-48;1.11
Total;2017-49;4.44
Total;2017-50;6.96
Total;2017-51;7.98
Total;2017-52;11.55
Total;2018-01;16.38
Total;2018-02;13.39
Total;2018-03;12.89
Total;2018-04;9.73
Total;2018-05;8.97
Total;2018-06;10.13
Total;2018-07;13.69
Total;2018-08;16.14
Total;2018-09;23.57
Total;2018-10;25.51
Total;2018-11;18.02
Total;2018-12;13.58
Total;2018-13;10.2
Total;2018-14;7.71
Total;2018-15;5.06
Total;2018-16;1.48
Total;2018-17;-2.54
Total;2018-18;-2.86
Total;2018-19;-2.2
Total;2018-20;-2.99
Total;2018-21;-1.09
Total;2018-22;0.49
Total;2018-23;-1.18
Total;2018-24;-3.22
Total;2018-25;-0.66
Total;2018-26;2.84
Total;2018-27;3.6
Total;2018-28;0.65
Total;2018-29;3.38
Total;2018-30;7.65
Total;2018-31;11.78
Total;2018-32;7.9
Total;2018-33;0.85
Total;2018-34;0.78
Total;2018-35;-1.64
Total;2018-36;-0.7
Total;2018-37;-1.73
Total;2018-38;-0.21
Total;2018-39;-2.35
Total;2018-40;0.2
Total;2018-41;1.26
Total;2018-42;-3.01
Total;2018-43;-3.19
Total;2018-44;-0.45
Total;2018-45;0.04
Total;2018-46;-3.09
Total;2018-47;-1.94
Total;2018-48;-0.49
Total;2018-49;-0.12
Total;2018-50;-0.97
Total;2018-51;2.32
Total;2018-52;1.09
Total;2019-01;5.65
Total;2019-02;9.22
Total;2019-03;8.88
Total;2019-04;9.48
Total;2019-05;10.47
Total;2019-06;10.81
Total;2019-07;8.97
Total;2019-08;7.7
Total;2019-09;7.61
Total;2019-10;5.2
Total;2019-11;3.44
Total;2019-12;-0.02
Total;2019-13;-0.99
Total;2019-14;1.25
Total;2019-15;-0.95
Total;2019-16;1.48
Total;2019-17;1.23
Total;2019-18;-0.89
Total;2019-19;0.12
Total;2019-20;0.8
Total;2019-21;0.82
Total;2019-22;0.35
Total;2019-23;1.55
Total;2019-24;0.76
Total;2019-25;1.47
Total;2019-26;5.68
Total;2019-27;3.69
Total;2019-28;0.86
Total;2019-29;1.37
Total;2019-30;11.15
Total;2019-31;1.69
Total;2019-32;0.95
Total;2019-33;-1.39
Total;2019-34;0.12
Total;2019-35;3.56
Total;2019-36;-2.55
Total;2019-37;-1.28
Total;2019-38;-0.5
Total;2019-39;1.32
Total;2019-40;0
Total;2019-41;2.25
Total;2019-42;1.27
Total;2019-43;0.72
Total;2019-44;0.54
Total;2019-45;0.98
Total;2019-46;2.32
Total;2019-47;2.59
Total;2019-48;1.59
Total;2019-49;2.53
Total;2019-50;3.46
Total;2019-51;4.76
Total;2019-52;1.36
Total;2020-01;4.63
Total;2020-02;7.32
Total;2020-03;4.95
Total;2020-04;3.27
Total;2020-05;5.83
Total;2020-06;2.23
Total;2020-07;3.04
Total;2020-08;-0.36
Total;2020-09;1.67
Total;2020-10;2.83
Total;2020-11;6.07
Total;2020-12;16.13
Total;2020-13;33.94
Total;2020-14;50.34
Total;2020-15;49.21
Total;2020-16;36.18
Total;2020-17;23.8
Total;2020-18;13.3
Total;2020-19;8.83
Total;2020-20;3.01
Total;2020-21;3.42
Total;2020-22;0
Total;2020-23;0.12
Total;2020-24;-1.19
Total;2020-25;-1.27
Total;2020-26;3.58
