group;week;zscore
Total;2020-27;0.35
Total;2020-28;-0.26
Total;2020-29;1.59
Total;2020-30;2.76
Total;2020-31;6.72
Total;2020-32;5.67
Total;2020-33;13.33
Total;2020-34;4.03
Total;2020-35;1.12
Total;2020-36;1.53
Total;2020-37;3.83
Total;2020-38;5.6
Total;2020-39;2.84
Total;2020-40;5.46
Total;2020-41;5.31
Total;2020-42;6.8
Total;2020-43;14.26
Total;2020-44;18.23
Total;2020-45;21.79
Total;2020-46;23.46
Total;2020-47;21.99
Total;2020-48;21.89
Total;2020-49;23.3
Total;2020-50;24.49
Total;2020-51;23.49
Total;2020-52;23.14
Total;2020-53;24.69
Total;2021-01;27.34
Total;2021-02;30.66
Total;2021-03;32.53
Total;2021-04;26.85
Total;2021-05;19
Total;2021-06;13.28
Total;2021-07;10.24
Total;2021-08;3.48
Total;2021-09;0.63
Total;2021-10;2.29
Total;2021-11;2.23
Total;2021-12;2.85
Total;2021-13;4.67
Total;2021-14;4.96
Total;2021-15;5.15
Total;2021-16;6.07
Total;2021-17;5.48
Total;2021-18;6.06
Total;2021-19;2.5
Total;2021-20;0.83
Total;2021-21;-0.05
Total;2021-22;2.16
Total;2021-23;0.89
Total;2021-24;4.32
Total;2021-25;1.69
Total;2021-26;3.44
Total;2021-27;3.58
Total;2021-28;5.25
Total;2021-29;9
Total;2021-30;7.32
Total;2021-31;8.71
Total;2021-32;10.4
Total;2021-33;9
Total;2021-34;6.72
Total;2021-35;7.5
Total;2021-36;11.75
Total;2021-37;6.5
Total;2021-38;5.03
Total;2021-39;5.86
Total;2021-40;5.61
Total;2021-41;7.85
Total;2021-42;9.52
Total;2021-43;11.67
Total;2021-44;10.92
Total;2021-45;13.89
Total;2021-46;14.74
Total;2021-47;17.45
Total;2021-48;21.48
Total;2021-49;20.18
Total;2021-50;16.19
Total;2021-51;15.94
Total;2021-52;15.33
Total;2022-01;11.82
Total;2022-02;10.4
Total;2022-03;9.96
Total;2022-04;12.19
Total;2022-05;13.32
Total;2022-06;9.65
Total;2022-07;9.21
Total;2022-08;5.45
Total;2022-09;5.28
Total;2022-10;6.62
Total;2022-11;7.55
Total;2022-12;7.41
Total;2022-13;5.2
Total;2022-14;-5.12
0to14;2017-16;0.54
0to14;2017-17;1.47
0to14;2017-18;1.9
0to14;2017-19;-1.53
0to14;2017-20;0.13
0to14;2017-21;-0.83
0to14;2017-22;-0.07
0to14;2017-23;1.64
0to14;2017-24;2.6
0to14;2017-25;-0.91
0to14;2017-26;1.33
0to14;2017-27;1.65
0to14;2017-28;-0.26
0to14;2017-29;1.08
0to14;2017-30;0.03
0to14;2017-31;-0.19
0to14;2017-32;-0.38
0to14;2017-33;0.92
0to14;2017-34;-1.51
0to14;2017-35;0.65
0to14;2017-36;-1.56
0to14;2017-37;-0.52
0to14;2017-38;0.32
0to14;2017-39;-0.58
0to14;2017-40;0.58
0to14;2017-41;0.02
0to14;2017-42;0.06
0to14;2017-43;0.74
0to14;2017-44;-1.66
0to14;2017-45;-1
0to14;2017-46;1.03
0to14;2017-47;2.23
0to14;2017-48;-1.16
0to14;2017-49;0.68
0to14;2017-50;1.35
0to14;2017-51;0.17
0to14;2017-52;2.75
0to14;2018-01;0.31
0to14;2018-02;1.47
0to14;2018-03;-0.87
0to14;2018-04;-0.45
0to14;2018-05;-0.35
0to14;2018-06;0.52
0to14;2018-07;0.26
0to14;2018-08;-0.64
0to14;2018-09;1.11
0to14;2018-10;0.81
0to14;2018-11;0.51
0to14;2018-12;-0.25
0to14;2018-13;1.78
0to14;2018-14;0.26
0to14;2018-15;0.1
0to14;2018-16;1.31
0to14;2018-17;-1.03
0to14;2018-18;-1.4
0to14;2018-19;-0.71
0to14;2018-20;0.02
0to14;2018-21;-0.34
0to14;2018-22;-1.56
0to14;2018-23;1.41
0to14;2018-24;-0.1
0to14;2018-25;-0.32
0to14;2018-26;0.11
0to14;2018-27;1.69
0to14;2018-28;0.97
0to14;2018-29;0.75
0to14;2018-30;1.76
0to14;2018-31;0.2
0to14;2018-32;1.55
0to14;2018-33;-0.78
0to14;2018-34;0.81
0to14;2018-35;-2.53
0to14;2018-36;-1.84
0to14;2018-37;1.64
0to14;2018-38;2.36
0to14;2018-39;-1.23
0to14;2018-40;0.28
0to14;2018-41;1.66
0to14;2018-42;1.38
0to14;2018-43;-1.39
0to14;2018-44;-0.97
0to14;2018-45;1.76
0to14;2018-46;1.16
0to14;2018-47;1.28
0to14;2018-48;0.5
0to14;2018-49;0.76
0to14;2018-50;0.85
0to14;2018-51;1.38
0to14;2018-52;-1.24
0to14;2019-01;1.78
0to14;2019-02;1.73
0to14;2019-03;1.73
0to14;2019-04;-0.02
0to14;2019-05;2.45
0to14;2019-06;1.71
0to14;2019-07;2.34
0to14;2019-08;1.96
0to14;2019-09;1.31
0to14;2019-10;0.61
0to14;2019-11;0.17
0to14;2019-12;-0.7
0to14;2019-13;-0.68
0to14;2019-14;0.55
0to14;2019-15;1.98
0to14;2019-16;-0.95
0to14;2019-17;0.15
0to14;2019-18;0.82
0to14;2019-19;-2.15
0to14;2019-20;-0.59
0to14;2019-21;0.46
0to14;2019-22;-1.18
0to14;2019-23;0.91
0to14;2019-24;-0.53
0to14;2019-25;0.05
0to14;2019-26;0.25
0to14;2019-27;-0.2
0to14;2019-28;1.02
0to14;2019-29;-1.14
0to14;2019-30;1.67
0to14;2019-31;2.4
0to14;2019-32;-0.88
0to14;2019-33;0.26
0to14;2019-34;1.64
0to14;2019-35;0.35
0to14;2019-36;-1.12
0to14;2019-37;-0.26
0to14;2019-38;1.45
0to14;2019-39;-1.13
0to14;2019-40;0.71
0to14;2019-41;-0.71
0to14;2019-42;-0.38
0to14;2019-43;0.78
0to14;2019-44;-2.03
0to14;2019-45;-0.22
0to14;2019-46;0.93
0to14;2019-47;0.6
0to14;2019-48;1.5
0to14;2019-49;2.03
0to14;2019-50;2.9
0to14;2019-51;1.39
0to14;2019-52;1.7
0to14;2020-01;-0.02
0to14;2020-02;0.61
0to14;2020-03;0.48
0to14;2020-04;1.69
0to14;2020-05;1.48
0to14;2020-06;0.73
0to14;2020-07;0.01
0to14;2020-08;0.89
0to14;2020-09;-0.33
0to14;2020-10;0.28
0to14;2020-11;0.84
0to14;2020-12;0.91
0to14;2020-13;1.38
0to14;2020-14;0.77
0to14;2020-15;0.14
0to14;2020-16;-0.87
0to14;2020-17;-0.61
0to14;2020-18;-0.88
0to14;2020-19;-0.43
0to14;2020-20;-0.32
0to14;2020-21;-0.35
0to14;2020-22;-0.67
0to14;2020-23;-0.09
0to14;2020-24;-1.3
0to14;2020-25;-0.58
0to14;2020-26;0.33
0to14;2020-27;-1.22
0to14;2020-28;-1.5
0to14;2020-29;-0.92
0to14;2020-30;1.87
0to14;2020-31;-0.1
0to14;2020-32;-1.52
0to14;2020-33;0.51
0to14;2020-34;-1.52
0to14;2020-35;-1.23
0to14;2020-36;-1.28
0to14;2020-37;-0.1
0to14;2020-38;0.37
0to14;2020-39;0.36
0to14;2020-40;-1.67
0to14;2020-41;-0.39
0to14;2020-42;-2.71
0to14;2020-43;-0.64
0to14;2020-44;-2.61
0to14;2020-45;0
0to14;2020-46;-1.04
0to14;2020-47;-1.51
0to14;2020-48;-1.47
0to14;2020-49;-0.21
0to14;2020-50;-0.87
0to14;2020-51;-0.4
0to14;2020-52;-1.48
0to14;2020-53;-0.59
0to14;2021-01;-2.04
0to14;2021-02;-1.65
0to14;2021-03;-1.6
0to14;2021-04;-0.07
0to14;2021-05;-1.35
0to14;2021-06;-0.56
0to14;2021-07;-1.19
0to14;2021-08;-2.31
0to14;2021-09;1.06
0to14;2021-10;-2.15
0to14;2021-11;0.15
0to14;2021-12;-0.66
0to14;2021-13;-0.04
0to14;2021-14;-2.43
0to14;2021-15;-0.69
0to14;2021-16;-1.33
0to14;2021-17;0.55
0to14;2021-18;-0.18
0to14;2021-19;0.51
0to14;2021-20;-0.08
0to14;2021-21;-0.71
0to14;2021-22;1.2
0to14;2021-23;0.5
0to14;2021-24;0.57
0to14;2021-25;0.89
0to14;2021-26;1.55
0to14;2021-27;0.96
0to14;2021-28;0.68
0to14;2021-29;1.04
0to14;2021-30;1.56
0to14;2021-31;0.76
0to14;2021-32;1.19
0to14;2021-33;-0.09
0to14;2021-34;-0.05
0to14;2021-35;0.56
0to14;2021-36;0.28
0to14;2021-37;0.47
0to14;2021-38;1.47
0to14;2021-39;2.27
0to14;2021-40;1.13
0to14;2021-41;0.42
0to14;2021-42;2.11
0to14;2021-43;1.78
0to14;2021-44;1.92
0to14;2021-45;1.27
0to14;2021-46;2.16
0to14;2021-47;1.48
0to14;2021-48;3.51
0to14;2021-49;-0.53
0to14;2021-50;2.55
0to14;2021-51;0.92
0to14;2021-52;1.95
0to14;2022-01;0.19
0to14;2022-02;0.25
0to14;2022-03;-0.18
0to14;2022-04;-0.12
0to14;2022-05;1.01
0to14;2022-06;0.59
0to14;2022-07;1.12
0to14;2022-08;-0.79
0to14;2022-09;0.27
0to14;2022-10;1.6
0to14;2022-11;-0.35
0to14;2022-12;-0.71
0to14;2022-13;-0.11
0to14;2022-14;-1.28
15to44;2017-16;-2.15
15to44;2017-17;1.09
15to44;2017-18;0.59
15to44;2017-19;0.94
15to44;2017-20;-0.66
15to44;2017-21;1.66
15to44;2017-22;-0.59
15to44;2017-23;-0.87
15to44;2017-24;0.91
15to44;2017-25;1.45
15to44;2017-26;-0.26
15to44;2017-27;0.92
15to44;2017-28;-0.57
15to44;2017-29;-0.16
15to44;2017-30;1.45
15to44;2017-31;1.37
15to44;2017-32;1.09
15to44;2017-33;-0.43
15to44;2017-34;0.67
15to44;2017-35;-0.8
15to44;2017-36;-0.42
15to44;2017-37;-1.98
15to44;2017-38;1.55
15to44;2017-39;0.72
15to44;2017-40;-0.22
15to44;2017-41;-0.68
15to44;2017-42;-0.5
15to44;2017-43;-0.22
15to44;2017-44;0.48
15to44;2017-45;-1
15to44;2017-46;0.07
15to44;2017-47;0.13
15to44;2017-48;0.34
15to44;2017-49;1.61
15to44;2017-50;1.5
15to44;2017-51;0.72
15to44;2017-52;2.7
15to44;2018-01;3.82
15to44;2018-02;1.91
15to44;2018-03;0.82
15to44;2018-04;1.57
15to44;2018-05;-0.34
15to44;2018-06;2.41
15to44;2018-07;2.46
15to44;2018-08;-0.26
15to44;2018-09;3.36
15to44;2018-10;2.58
15to44;2018-11;1.38
15to44;2018-12;0.54
15to44;2018-13;0.78
15to44;2018-14;0.9
15to44;2018-15;0.23
15to44;2018-16;0.75
15to44;2018-17;-1.04
15to44;2018-18;2.03
15to44;2018-19;1.69
15to44;2018-20;0.38
15to44;2018-21;0.73
15to44;2018-22;-0.55
15to44;2018-23;1.48
15to44;2018-24;-1.33
15to44;2018-25;-0.69
15to44;2018-26;1.39
15to44;2018-27;1.09
15to44;2018-28;3.35
15to44;2018-29;1.29
15to44;2018-30;2.07
15to44;2018-31;3.69
15to44;2018-32;1.95
15to44;2018-33;0.84
15to44;2018-34;0.62
15to44;2018-35;-0.08
15to44;2018-36;0.37
15to44;2018-37;-0.05
15to44;2018-38;-0.53
15to44;2018-39;-0.62
15to44;2018-40;-0.39
15to44;2018-41;3.62
15to44;2018-42;-0.68
15to44;2018-43;-0.53
15to44;2018-44;0.33
15to44;2018-45;-0.01
15to44;2018-46;-0.82
15to44;2018-47;-0.57
15to44;2018-48;-0.49
15to44;2018-49;0.67
15to44;2018-50;0.78
15to44;2018-51;1.27
15to44;2018-52;-0.07
15to44;2019-01;2.75
15to44;2019-02;3.07
15to44;2019-03;1.49
15to44;2019-04;0.53
15to44;2019-05;1.26
15to44;2019-06;2.02
15to44;2019-07;1.88
15to44;2019-08;0.76
15to44;2019-09;-0.92
15to44;2019-10;1.44
15to44;2019-11;-1.18
15to44;2019-12;-1.11
15to44;2019-13;-0.65
15to44;2019-14;-0.21
15to44;2019-15;0.45
15to44;2019-16;-0.25
15to44;2019-17;-1.78
15to44;2019-18;-1.03
15to44;2019-19;-0.67
15to44;2019-20;-0.39
15to44;2019-21;-0.33
15to44;2019-22;-0.72
15to44;2019-23;0.43
15to44;2019-24;-1.24
15to44;2019-25;1.08
15to44;2019-26;2.73
15to44;2019-27;1.61
15to44;2019-28;-1.02
15to44;2019-29;0.03
15to44;2019-30;2.27
15to44;2019-31;0.11
15to44;2019-32;0.36
15to44;2019-33;-0.17
15to44;2019-34;-0.44
15to44;2019-35;1.04
15to44;2019-36;-0.44
15to44;2019-37;0.64
15to44;2019-38;-0.15
15to44;2019-39;-0.23
15to44;2019-40;-0.42
15to44;2019-41;1.37
15to44;2019-42;-0.97
15to44;2019-43;1.75
15to44;2019-44;-0.54
15to44;2019-45;-0.4
15to44;2019-46;-0.01
15to44;2019-47;-0.12
15to44;2019-48;-0.7
15to44;2019-49;0.41
15to44;2019-50;0.08
15to44;2019-51;0.19
15to44;2019-52;-0.16
15to44;2020-01;3.51
15to44;2020-02;2.13
15to44;2020-03;0.6
15to44;2020-04;-0.46
15to44;2020-05;3.35
15to44;2020-06;-0.94
15to44;2020-07;1.51
15to44;2020-08;-0.06
15to44;2020-09;1.42
15to44;2020-10;1.64
15to44;2020-11;1.87
15to44;2020-12;0.75
15to44;2020-13;3.11
15to44;2020-14;2.99
15to44;2020-15;4.47
15to44;2020-16;1.79
15to44;2020-17;0.81
15to44;2020-18;-0.98
15to44;2020-19;-1.22
15to44;2020-20;1.46
15to44;2020-21;-0.63
15to44;2020-22;1.22
15to44;2020-23;-0.26
15to44;2020-24;1.03
15to44;2020-25;0.93
15to44;2020-26;0.92
15to44;2020-27;0.49
15to44;2020-28;-0.43
15to44;2020-29;0.16
15to44;2020-30;0.1
15to44;2020-31;2.55
15to44;2020-32;2.43
15to44;2020-33;3.45
15to44;2020-34;1.24
15to44;2020-35;0.47
15to44;2020-36;1.17
15to44;2020-37;2.15
15to44;2020-38;1.85
15to44;2020-39;0.41
15to44;2020-40;0.03
15to44;2020-41;1.63
15to44;2020-42;-1.01
15to44;2020-43;2.83
15to44;2020-44;1.56
15to44;2020-45;0.16
15to44;2020-46;0.11
15to44;2020-47;1.05
15to44;2020-48;-0.02
15to44;2020-49;4.45
15to44;2020-50;3.16
15to44;2020-51;0.58
15to44;2020-52;0.79
15to44;2020-53;3.17
15to44;2021-01;2.05
15to44;2021-02;2.41
15to44;2021-03;3.35
15to44;2021-04;2.94
15to44;2021-05;2.54
15to44;2021-06;-0.16
15to44;2021-07;-0.19
15to44;2021-08;-0.84
15to44;2021-09;-0.13
15to44;2021-10;-0.12
15to44;2021-11;0.31
15to44;2021-12;0.08
15to44;2021-13;2.42
15to44;2021-14;1.85
15to44;2021-15;1.86
15to44;2021-16;1.79
15to44;2021-17;1.21
15to44;2021-18;3.13
15to44;2021-19;0.26
15to44;2021-20;0.75
15to44;2021-21;0.36
15to44;2021-22;1.73
15to44;2021-23;0.48
15to44;2021-24;3.36
15to44;2021-25;2.15
15to44;2021-26;1.61
15to44;2021-27;2.46
15to44;2021-28;3.99
15to44;2021-29;4.82
15to44;2021-30;4.19
15to44;2021-31;2.11
15to44;2021-32;3.34
15to44;2021-33;2.18
15to44;2021-34;1.96
15to44;2021-35;2.8
15to44;2021-36;4.73
15to44;2021-37;4.04
15to44;2021-38;3.23
15to44;2021-39;3.27
15to44;2021-40;2.15
15to44;2021-41;1.46
15to44;2021-42;3.8
15to44;2021-43;1.74
15to44;2021-44;1.54
15to44;2021-45;5.18
15to44;2021-46;3.55
15to44;2021-47;6.1
15to44;2021-48;6.62
15to44;2021-49;5.25
15to44;2021-50;4.26
15to44;2021-51;4.16
15to44;2021-52;5.36
15to44;2022-01;4.79
15to44;2022-02;2.85
15to44;2022-03;2.13
15to44;2022-04;1.77
15to44;2022-05;2.31
15to44;2022-06;1.29
15to44;2022-07;2.68
15to44;2022-08;1.75
15to44;2022-09;1.58
15to44;2022-10;1.79
15to44;2022-11;1.72
15to44;2022-12;1.52
15to44;2022-13;-0.72
15to44;2022-14;-4.15
45to64;2017-16;-1.61
45to64;2017-17;1.88
45to64;2017-18;0.55
45to64;2017-19;1.52
45to64;2017-20;0
45to64;2017-21;0.96
45to64;2017-22;-1.19
45to64;2017-23;-0.63
45to64;2017-24;0.52
45to64;2017-25;3.47
45to64;2017-26;-1.68
45to64;2017-27;-0.6
45to64;2017-28;1.57
45to64;2017-29;1.25
45to64;2017-30;-0.87
45to64;2017-31;2.91
45to64;2017-32;0.02
45to64;2017-33;-2.39
45to64;2017-34;-0.62
45to64;2017-35;-0.28
45to64;2017-36;-1.32
45to64;2017-37;-0.93
45to64;2017-38;0.22
45to64;2017-39;0.49
45to64;2017-40;2.01
45to64;2017-41;0.84
45to64;2017-42;0.51
45to64;2017-43;-0.34
45to64;2017-44;-0.39
45to64;2017-45;1.42
45to64;2017-46;2.92
45to64;2017-47;1.32
45to64;2017-48;1.93
45to64;2017-49;2.65
45to64;2017-50;4.43
45to64;2017-51;5.06
45to64;2017-52;7.65
45to64;2018-01;9.05
45to64;2018-02;5.71
45to64;2018-03;6.49
45to64;2018-04;4.53
45to64;2018-05;5.37
45to64;2018-06;4.73
45to64;2018-07;7.59
45to64;2018-08;9.7
45to64;2018-09;12.12
45to64;2018-10;11.62
45to64;2018-11;8.51
45to64;2018-12;6.73
45to64;2018-13;3.22
45to64;2018-14;5.8
45to64;2018-15;4.09
45to64;2018-16;1.06
45to64;2018-17;-0.29
45to64;2018-18;-0.27
45to64;2018-19;-0.87
45to64;2018-20;0.15
45to64;2018-21;-0.13
45to64;2018-22;0.16
45to64;2018-23;0.2
45to64;2018-24;-0.38
45to64;2018-25;0.05
45to64;2018-26;1.38
45to64;2018-27;1.05
45to64;2018-28;-0.2
45to64;2018-29;1.35
45to64;2018-30;3.24
45to64;2018-31;4.92
45to64;2018-32;2.69
45to64;2018-33;-0.65
45to64;2018-34;-0.71
45to64;2018-35;-0.21
45to64;2018-36;0.1
45to64;2018-37;-1.36
45to64;2018-38;-0.23
45to64;2018-39;0.49
45to64;2018-40;1.67
45to64;2018-41;-0.5
45to64;2018-42;-1.55
45to64;2018-43;-0.56
45to64;2018-44;-0.03
45to64;2018-45;0.82
45to64;2018-46;0.5
45to64;2018-47;0.24
45to64;2018-48;1.45
45to64;2018-49;1.7
45to64;2018-50;1.12
45to64;2018-51;4.04
45to64;2018-52;2.6
45to64;2019-01;5.87
45to64;2019-02;6.05
45to64;2019-03;5.09
45to64;2019-04;6.85
45to64;2019-05;7.67
45to64;2019-06;6.2
45to64;2019-07;6.76
45to64;2019-08;3.84
45to64;2019-09;5.36
45to64;2019-10;4.09
45to64;2019-11;0.87
45to64;2019-12;0.54
45to64;2019-13;-0.79
45to64;2019-14;0.11
45to64;2019-15;-1.51
45to64;2019-16;0.51
45to64;2019-17;0.65
45to64;2019-18;-1.34
45to64;2019-19;-0.97
45to64;2019-20;-0.35
45to64;2019-21;-1.1
45to64;2019-22;-0.3
45to64;2019-23;-0.32
45to64;2019-24;0.65
45to64;2019-25;1.21
45to64;2019-26;2.33
45to64;2019-27;2.76
45to64;2019-28;-2.16
45to64;2019-29;1.52
45to64;2019-30;2.29
45to64;2019-31;-0.64
45to64;2019-32;-1.27
45to64;2019-33;-3.68
45to64;2019-34;-2.19
45to64;2019-35;0.79
45to64;2019-36;-1.58
45to64;2019-37;-2.14
45to64;2019-38;0.27
45to64;2019-39;1.13
45to64;2019-40;0.01
45to64;2019-41;0.74
45to64;2019-42;-0.68
45to64;2019-43;-0.75
45to64;2019-44;-0.32
45to64;2019-45;2.45
45to64;2019-46;0.77
45to64;2019-47;-0.29
45to64;2019-48;0.56
45to64;2019-49;3.42
45to64;2019-50;2.01
45to64;2019-51;3.78
45to64;2019-52;0.7
45to64;2020-01;3.53
45to64;2020-02;4.18
45to64;2020-03;3.79
45to64;2020-04;1.52
45to64;2020-05;3.72
45to64;2020-06;2.59
45to64;2020-07;1.96
45to64;2020-08;0.86
45to64;2020-09;1.71
45to64;2020-10;2.15
45to64;2020-11;4.28
45to64;2020-12;8.84
45to64;2020-13;15.59
45to64;2020-14;21.84
45to64;2020-15;19.63
45to64;2020-16;12.49
45to64;2020-17;8.53
45to64;2020-18;3.66
45to64;2020-19;3.98
45to64;2020-20;2.17
45to64;2020-21;2.95
45to64;2020-22;2.41
45to64;2020-23;0.45
45to64;2020-24;0.55
45to64;2020-25;-1.22
45to64;2020-26;1.69
45to64;2020-27;0.49
45to64;2020-28;0.22
45to64;2020-29;0.52
45to64;2020-30;1.41
45to64;2020-31;2.99
45to64;2020-32;2.5
45to64;2020-33;6.69
45to64;2020-34;0.52
45to64;2020-35;-0.34
45to64;2020-36;0.64
45to64;2020-37;1.4
45to64;2020-38;2.62
45to64;2020-39;1.48
45to64;2020-40;3.07
45to64;2020-41;3.94
45to64;2020-42;3.91
45to64;2020-43;7.18
45to64;2020-44;7.52
45to64;2020-45;8.84
45to64;2020-46;10.45
45to64;2020-47;9.45
45to64;2020-48;12.19
45to64;2020-49;10.59
45to64;2020-50;12.49
45to64;2020-51;9.58
45to64;2020-52;11.27
45to64;2020-53;12.13
45to64;2021-01;15.52
45to64;2021-02;16.6
45to64;2021-03;16.89
45to64;2021-04;13.47
45to64;2021-05;11.61
45to64;2021-06;10.07
45to64;2021-07;8.96
45to64;2021-08;5.42
45to64;2021-09;4.23
45to64;2021-10;6.35
45to64;2021-11;5.21
45to64;2021-12;6.79
45to64;2021-13;7.89
45to64;2021-14;7.78
45to64;2021-15;9.27
45to64;2021-16;9.35
45to64;2021-17;9.11
45to64;2021-18;7.98
45to64;2021-19;5.48
45to64;2021-20;3.78
45to64;2021-21;3.38
45to64;2021-22;4.44
45to64;2021-23;2.96
45to64;2021-24;3.15
45to64;2021-25;3.17
45to64;2021-26;4.97
45to64;2021-27;2.72
45to64;2021-28;3.71
45to64;2021-29;5.44
45to64;2021-30;3.85
45to64;2021-31;5.68
45to64;2021-32;5.42
45to64;2021-33;5.62
45to64;2021-34;4.34
45to64;2021-35;6.79
45to64;2021-36;7.44
45to64;2021-37;3.9
45to64;2021-38;6.45
45to64;2021-39;4.38
45to64;2021-40;6.77
45to64;2021-41;8.5
45to64;2021-42;7.58
45to64;2021-43;7.67
45to64;2021-44;8.44
45to64;2021-45;9.99
45to64;2021-46;12.05
45to64;2021-47;14.1
45to64;2021-48;16.56
45to64;2021-49;16.4
45to64;2021-50;13.6
45to64;2021-51;14.26
45to64;2021-52;12.94
45to64;2022-01;10.73
45to64;2022-02;8.82
45to64;2022-03;6.7
45to64;2022-04;7.34
45to64;2022-05;7.83
45to64;2022-06;5.43
45to64;2022-07;4.47
45to64;2022-08;2.97
45to64;2022-09;3.17
45to64;2022-10;2.31
45to64;2022-11;3.18
45to64;2022-12;2.97
45to64;2022-13;2.12
45to64;2022-14;-5.06
65to74;2017-16;-1.14
65to74;2017-17;0.94
65to74;2017-18;1.74
65to74;2017-19;1.39
65to74;2017-20;1.73
65to74;2017-21;-0.02
65to74;2017-22;-0.73
65to74;2017-23;-1.14
65to74;2017-24;-0.72
65to74;2017-25;2.33
65to74;2017-26;0.67
65to74;2017-27;2.13
65to74;2017-28;-0.02
65to74;2017-29;1.95
65to74;2017-30;-0.55
65to74;2017-31;0.88
65to74;2017-32;-0.18
65to74;2017-33;0.13
65to74;2017-34;-1.03
65to74;2017-35;-1.37
65to74;2017-36;-1.57
65to74;2017-37;0.61
65to74;2017-38;1.46
65to74;2017-39;0.76
65to74;2017-40;0.44
65to74;2017-41;1.75
65to74;2017-42;1.34
65to74;2017-43;-0.12
65to74;2017-44;-0.52
65to74;2017-45;-0.62
65to74;2017-46;0.83
65to74;2017-47;1.52
65to74;2017-48;1.37
65to74;2017-49;3.73
