group;week;zscore
Total;2016-45;2.41
Total;2016-46;4
Total;2016-47;1.64
Total;2016-48;2.05
Total;2016-49;3.88
Total;2016-50;5.33
Total;2016-51;9.33
Total;2016-52;14.93
Total;2017-01;21.72
Total;2017-02;24.41
Total;2017-03;19.67
Total;2017-04;19.71
Total;2017-05;20.5
Total;2017-06;14.18
Total;2017-07;12.19
Total;2017-08;9.14
Total;2017-09;5.78
Total;2017-10;1.94
Total;2017-11;-0.55
Total;2017-12;-2.33
Total;2017-13;-1.86
Total;2017-14;-2.82
Total;2017-15;-2.54
Total;2017-16;-2.84
Total;2017-17;1.23
Total;2017-18;1.22
Total;2017-19;1.35
Total;2017-20;1.25
Total;2017-21;0.77
Total;2017-22;-0.47
Total;2017-23;-3.02
Total;2017-24;1.15
Total;2017-25;4.9
Total;2017-26;0.45
Total;2017-27;2.69
Total;2017-28;-0.27
Total;2017-29;1.4
Total;2017-30;0.28
Total;2017-31;3.69
Total;2017-32;1.45
Total;2017-33;0.22
Total;2017-34;0.57
Total;2017-35;-0.62
Total;2017-36;-2.91
Total;2017-37;-1.09
Total;2017-38;0.66
Total;2017-39;1.76
Total;2017-40;1.52
Total;2017-41;2.5
Total;2017-42;0.3
Total;2017-43;-1.53
Total;2017-44;-1.78
Total;2017-45;-0.87
Total;2017-46;1.08
Total;2017-47;1.47
Total;2017-48;1.25
Total;2017-49;4.36
Total;2017-50;6.77
Total;2017-51;7.6
Total;2017-52;11.17
Total;2018-01;15.62
Total;2018-02;12.86
Total;2018-03;12.19
Total;2018-04;9.4
Total;2018-05;8.59
Total;2018-06;9.65
Total;2018-07;13.05
Total;2018-08;15.5
Total;2018-09;22.74
Total;2018-10;24.55
Total;2018-11;17.4
Total;2018-12;13.02
Total;2018-13;9.91
Total;2018-14;7.51
Total;2018-15;4.92
Total;2018-16;1.5
Total;2018-17;-2.49
Total;2018-18;-2.79
Total;2018-19;-2.12
Total;2018-20;-2.9
Total;2018-21;-1.01
Total;2018-22;0.37
Total;2018-23;-1.23
Total;2018-24;-2.99
Total;2018-25;-0.79
Total;2018-26;2.6
Total;2018-27;3.13
Total;2018-28;0.38
Total;2018-29;3.08
Total;2018-30;7.11
Total;2018-31;11.49
Total;2018-32;7.61
Total;2018-33;0.75
Total;2018-34;0.44
Total;2018-35;-1.69
Total;2018-36;-0.71
Total;2018-37;-1.65
Total;2018-38;-0.21
Total;2018-39;-2.16
Total;2018-40;0.33
Total;2018-41;1.41
Total;2018-42;-2.85
Total;2018-43;-2.89
Total;2018-44;-0.58
Total;2018-45;0.19
Total;2018-46;-2.73
Total;2018-47;-1.57
Total;2018-48;-0.33
Total;2018-49;0.03
Total;2018-50;-0.59
Total;2018-51;2.42
Total;2018-52;1.22
Total;2019-01;5.51
Total;2019-02;8.93
Total;2019-03;8.64
Total;2019-04;9.15
Total;2019-05;10.08
Total;2019-06;10.51
Total;2019-07;8.61
Total;2019-08;7.54
Total;2019-09;7.5
Total;2019-10;5.08
Total;2019-11;3.28
Total;2019-12;0.12
Total;2019-13;-0.87
Total;2019-14;1.42
Total;2019-15;-0.76
Total;2019-16;1.57
Total;2019-17;1.1
Total;2019-18;-1.02
Total;2019-19;0.07
Total;2019-20;0.86
Total;2019-21;0.81
Total;2019-22;0.38
Total;2019-23;1.62
Total;2019-24;0.67
Total;2019-25;1.42
Total;2019-26;5.47
Total;2019-27;3.48
Total;2019-28;0.82
Total;2019-29;1.18
Total;2019-30;10.82
Total;2019-31;1.51
Total;2019-32;0.89
Total;2019-33;-1.48
Total;2019-34;0.25
Total;2019-35;3.17
Total;2019-36;-2.45
Total;2019-37;-1.15
Total;2019-38;-0.43
Total;2019-39;1.09
Total;2019-40;0.19
Total;2019-41;2.23
Total;2019-42;1.25
Total;2019-43;0.83
Total;2019-44;0.72
Total;2019-45;1.07
Total;2019-46;2.31
Total;2019-47;2.9
