"cumulative_excess_mortality_x","cumulative_excess_mortality_x_date","cumulative_excess_mortality_y"
"-314","2019-02-21","734.7992269909125"
"-307","2019-02-28","683.063376217963"
"-300","2019-03-07","650.5744952708865"
"-293","2019-03-14","692.3944691802867"
"-286","2019-03-21","633.5061168440832"
"-279","2019-03-28","606.7989275278208"
"-272","2019-04-04","549.0561446102201"
"-265","2019-04-11","524.943384129373"
"-258","2019-04-18","475.99895351380815"
"-251","2019-04-25","413.62601130828625"
"-244","2019-05-02","450.0866820818512"
"-237","2019-05-09","378.4982124203116"
"-230","2019-05-16","337.83122436618623"
"-223","2019-05-23","240.91009230370014"
"-216","2019-05-30","145.4154385342681"
"-209","2019-06-06","192.88871209443062"
"-202","2019-06-13","129.73878517805372"
"-195","2019-06-20","102.25047227527875"
"-188","2019-06-27","14.59484925625452"
"-181","2019-07-04","-13.158776487512455"
"-174","2019-07-11","-2.0294176983881016"
"-167","2019-07-18","-8.10967502958681"
"-160","2019-07-25","48.450066067915486"
"-153","2019-08-01","6.458280776528568"
"-146","2019-08-08","0.6995518114472361"
"-139","2019-08-15","-41.04783185435667"
"-132","2019-08-22","-15.994179261581394"
"-125","2019-08-29","-20.320861044161916"
"-118","2019-09-05","-9.163186405773445"
"-111","2019-09-12","0.40605832231517525"
"-104","2019-09-19","20.392170859267253"
"-97","2019-09-26","72.89296816822946"
"-90","2019-10-03","120.11188618161418"
"-83","2019-10-10","198.36955385090255"
"-76","2019-10-17","229.11367335212628"
"-69","2019-10-24","278.9270627599768"
"-62","2019-10-31","338.5337440748975"
"-55","2019-11-07","283.80298776426514"
"-48","2019-11-14","235.7512545518258"
"-41","2019-11-21","133.54200563093957"
"-34","2019-11-28","75.48338334618495"
"-27","2019-12-05","81.02379523747084"
"-20","2019-12-12","33.74546472408895"
"-13","2019-12-19","30.356041182788772"
"-6","2019-12-26","3.6783903167043945"
"1","2020-01-02","-71.36128788734743"
"8","2020-01-09","-129.7468420400677"
"15","2020-01-16","-200.38685969806772"
"22","2020-01-23","-295.1304528040115"
"29","2020-01-30","-357.7839099091867"
"36","2020-02-06","-380.1279742374012"
"43","2020-02-13","-418.9354975034961"
"50","2020-02-20","-462.9892138739659"
"57","2020-02-27","-545.0993766324458"
"64","2020-03-05","-567.1210020167799"
"71","2020-03-12","-584.9704703007236"
"78","2020-03-19","-579.6412434220191"
"85","2020-03-26","-581.2184711771359"
"92","2020-04-02","-572.8922740283111"
"99","2020-04-09","-484.9695096695601"
"106","2020-04-16","-474.8838523994067"
"113","2020-04-23","-407.20403873283055"
"120","2020-04-30","-340.640159200933"
"127","2020-05-07","-321.04790455066484"
"134","2020-05-14","-261.43070415977047"
