"excess_mortality_x","excess_mortality_x_date","excess_mortality_week","excess_mortality_y"
"-10212","1992-01-16","1992W03","186.28863927525845"
"-10205","1992-01-23","1992W04","205.85249658115094"
"-10198","1992-01-30","1992W05","195.32109349746338"
"-10191","1992-02-06","1992W06","294.7144935700434"
"-10184","1992-02-13","1992W07","249.03937148537614"
"-10177","1992-02-20","1992W08","217.28891055381382"
"-10170","1992-02-27","1992W09","174.44289559973743"
"-10163","1992-03-05","1992W10","124.46799999785412"
"-10156","1992-03-12","1992W11","41.31826278161998"
"-10149","1992-03-19","1992W12","64.93574899438136"
"-10142","1992-03-26","1992W13","140.2513837961469"
"-10135","1992-04-02","1992W14","113.1859483175457"
"-10128","1992-04-09","1992W15","122.65122290401985"
"-10121","1992-04-16","1992W16","66.5512612517723"
"-10114","1992-04-23","1992W17","109.78377703358967"
"-10107","1992-04-30","1992W18","118.24162297494377"
"-10100","1992-05-07","1992W19","178.81434099278772"
"-10093","1992-05-14","1992W20","109.38976097062562"
"-10086","1992-05-21","1992W21","125.85562502915741"
"-10079","1992-05-28","1992W22","163.1012137723368"
"-10072","1992-06-04","1992W23","226.01895094993813"
"-10065","1992-06-11","1992W24","172.50596328016104"
"-10058","1992-06-18","1992W25","182.46557281534956"
"-10051","1992-06-25","1992W26","108.80870020139696"
"-10044","1992-07-02","1992W27","189.4551584628989"
"-10037","1992-07-09","1992W28","174.33481852333466"
"-10030","1992-07-16","1992W29","150.3886295196046"
"-10023","1992-07-23","1992W30","133.5694790665874"
"-10016","1992-07-30","1992W31","80.84288093961982"
"-10009","1992-08-06","1992W32","166.18748013766105"
"-10002","1992-08-13","1992W33","146.5953679312106"
"-9995","1992-08-20","1992W34","170.07220224866046"
"-9988","1992-08-27","1992W35","177.637131572881"
"-9981","1992-09-03","1992W36","222.32252336565045"
"-9974","1992-09-10","1992W37","191.17350086985164"
"-9967","1992-09-17","1992W38","136.24729491709843"
"-9960","1992-09-24","1992W39","115.61242005141139"
"-9953","1992-10-01","1992W40","93.34768682873323"
"-9946","1992-10-08","1992W41","154.54106453060888"
"-9939","1992-10-15","1992W42","161.28841070355907"
"-9932","1992-10-22","1992W43","163.69208587211835"
"-9925","1992-10-29","1992W44","160.85947344491683"
"-9918","1992-11-05","1992W45","115.90142621536654"
"-9911","1992-11-12","1992W46","175.93066193113702"
"-9904","1992-11-19","1992W47","116.06013115417875"
"-9897","1992-11-26","1992W48","63.40138104450136"
"-9890","1992-12-03","1992W49","132.06293877011444"
